Year, Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec
1895,0.93,0.74,0.05,-0.6,-0.38,-0.62,-0.56,-0.46,-0.57,-0.3,0.98,0.52
1896,0.05,-0.69,-1.23,-1.43,-1.7,-1.91,-0.63,-0.93,-0.61,1.47,1.22,0.65
1897,1.62,1.84,2.02,1.9,1.89,1.5,1.03,0.49,1.45,1.76,0.85,0.32
1898,1,-0.05,-0.19,-0.57,-0.56,-0.21,-0.02,-0.01,-0.96,-1.58,-1.56,-1.06
1899,-1.08,-1.26,-1.48,-1.84,-2.05,-1.43,-0.92,-1.45,-1.78,-1.6,-1.63,-2.08
1900,-2.74,-3.19,-3.74,-2.71,-2.83,-3.05,-3.72,-4.08,-3.28,-3.21,-2.72,-3.19
1901,-3,-2.02,-1.91,-1.89,-1.63,-1.74,-1.82,-1.76,-2.3,-2.06,-2.4,-2.8
1902,-2.85,-3.12,-2.93,-3.24,-3.21,-3.38,-3.82,-3.67,-3.47,-3.72,-2.52,-1.91
1903,-2.09,-1.51,-0.84,-0.37,0.06,0.79,0.29,-0.33,0.24,-0.61,-1.66,-2.3
1904,-2.69,-3.1,-3.47,-3.88,-3.92,-4.04,-3.65,-2.39,-2.44,-2.4,-2.79,-2.81
1905,-1.82,2.36,4.38,5.97,6.61,7.17,6.22,5.12,5.28,4.27,6.42,6.06
1906,5.47,5.04,5.43,5.54,5.47,5.09,4.75,5.17,4.44,3.46,3.72,4.62
1907,5.2,4.47,4.03,3.9,4.28,4.3,4.17,4.48,3.7,4.58,4.17,3.21
1908,2.63,3.14,2.6,2.33,2.27,1.96,2.56,2.69,2.36,2.05,1.45,2.22
1909,1.78,1.88,2.11,1.84,1.5,1.17,1.33,2.94,2.85,1.79,1.56,1.72
1910,1.66,0.82,-0.11,-0.68,-1.32,-1.4,-1.23,-1.28,-1.74,-1.89,-1.16,-1.52
1911,-1.05,-0.21,-0.25,-0.34,-0.57,-0.24,1.78,1.09,1.94,2.66,1.94,1.44
1912,-0.03,-1.23,0.51,1.65,1.64,1.72,2.42,2.21,1.31,2.15,1.43,0.89
1913,0.31,1.54,1.17,1.03,0.6,0.3,0.36,-0.08,-0.15,-0.65,0.52,0.41
1914,0.42,0.4,-0.25,-0.67,-0.68,-0.21,1.21,0.85,0.31,1.68,1.28,2.53
1915,3.27,3.72,3.43,4.35,4.92,5.42,5.64,4.51,3.79,2.66,2.38,2.78
1916,4.8,3.99,3.64,3.31,3.17,2.78,3.15,3.13,3,3.61,2.8,2.36
1917,2.93,2.64,2.09,2.8,3.4,3.37,3.88,2.9,2.48,1.29,-0.04,-1.85
1918,-1.53,-1.53,-1.02,-1.21,-1.43,-0.64,-0.34,-0.08,-0.57,-0.71,-0.1,0.71
1919,0.19,0.87,1.13,1.25,1.5,1.26,3.12,2.7,3.27,3.13,4.31,3.77
1920,4.03,4.62,4.7,4.52,4.74,4.91,3.96,3.6,3.05,3.22,2.51,1.69
1921,0.92,-0.44,-1.73,-2.19,-2.22,-2.19,-0.2,2.14,1.6,1.5,0.66,0.84
1922,1.24,0.91,1.23,1.49,1.53,1.61,1.17,1.17,0.59,-0.15,0.43,-0.14
1923,-0.73,-0.94,-0.84,-0.71,-0.97,-1.26,-0.42,0.69,1.22,0.93,2.1,3.04
1924,2.27,1.17,1.62,1.91,1.86,1.5,1.34,-0.29,-0.84,-1.12,-1.83,-1.24
1925,-1.74,-2.33,-2.46,-2.31,-2.58,-1.81,-1.69,-1.07,-0.07,1.35,1.24,0.74
1926,0.17,-0.82,-0.28,2.07,2.35,2.04,1.74,0.71,1.46,0.7,-0.16,1.11
1927,0.37,1.49,1.63,1.7,1.43,2.37,2.12,2.37,3.23,2.84,1.98,2.1
1928,1.05,1.3,0.38,-0.36,-0.43,-0.97,-1.58,-1.62,-2.19,-1.77,-1.62,-1.68
1929,-1.69,-1.64,-1.9,-1.67,-1.71,-1.92,-0.65,0.02,0.95,0.41,-0.23,-1.34
1930,-0.91,-1.6,-0.9,-1.1,-0.47,-0.4,0.49,0.73,0.52,0.05,0.72,-0.13
1931,-0.75,1.2,0.7,1.3,1.3,1.5,1.36,2.09,2.05,1.72,2.99,3.3
1932,3.06,4.05,3.37,3.14,3.08,3.06,3.19,2.74,1.95,1.91,0.61,1.1
1933,1.58,1.26,0.33,0.6,0.74,1.05,1.06,0.24,0.31,0.44,0.36,-0.64
1934,-1.51,-2,-3.09,-3.52,-3.62,-3.61,-3.91,-3.01,-3.16,-3.52,-3.21,-2.76
1935,-2.09,-0.77,0.04,0.4,1.43,1.49,0.86,1.76,1.79,0.82,0.94,0.5
1936,-0.1,0.31,-0.04,-0.73,-1.12,-1.42,-0.88,-0.49,-0.19,0.02,-0.05,0.69
1937,1.32,1.65,2.19,1.93,1.99,2.02,1.79,0.94,1.06,0.28,-0.98,-1.22
1938,-1.65,-1.24,-0.05,-0.18,-0.19,0.46,0.13,-0.12,-0.51,-1.21,-1.54,-1.03
1939,-0.79,-0.36,-0.44,-0.44,-0.77,-1.15,-1.68,-1.64,1.53,1.25,1.29,0.28
1940,-0.28,0.17,-0.87,-1.02,-1.31,-1,-1.83,-1.79,0.35,1.02,1.4,3.11
1941,3.38,3.81,4.86,6.41,7.49,7.7,7.21,6.78,6.77,6.83,6.3,6.21
1942,5.31,4.88,4.26,4.31,3.79,3.21,2.39,1.8,0.91,0.67,-0.49,-0.99
1943,-0.85,-1.47,-1.38,-1.84,-2.23,-2.24,-2.76,-2.01,-1.62,-1.58,-2.02,-1.62
1944,-1.6,-0.05,0.35,1.17,1.68,1.54,0.84,-0.32,-0.32,-0.74,0.24,0.21
1945,0.26,-0.27,0.74,0.68,0.35,0,0.16,0.41,-0.76,-0.47,-1.23,-1.12
1946,-1.11,-1.58,-1.87,-2.13,-2.38,-2.63,-2.06,-1.35,0.37,0.64,1.53,1.2
1947,0.52,-0.82,-2.08,-2.76,-2.74,-2.81,-3.31,-2.12,-2.47,-2,-1.43,-0.91
1948,-1.45,-0.92,-0.64,-0.93,-1.2,-1.1,-1.35,-1.38,-1.77,-1.39,-1.7,-1.3
1949,0.93,0.84,0.63,0.58,0.71,1.43,1.39,0.55,0.71,0.83,-0.2,-0.19
1950,-0.82,-1.16,-1.65,-2.37,-2.67,-2.65,-1.5,-2.24,-2.3,-2.99,-3.4,-4.08
1951,-3.76,-3.86,-3.93,-3.22,-2.98,-3.1,-3.22,-0.5,-0.88,-0.52,-0.19,0.31
1952,1.14,0.66,1.86,3.26,3.23,3.44,3.15,2.58,2.13,0.83,1.77,1.79
1953,0.94,0.22,-0.14,-0.37,-0.74,-0.95,0.22,0.02,-1.25,-1.82,-2.1,-2.47
1954,-2.33,-2.78,-1.61,-2.07,-2.09,-1.84,-0.99,-0.91,-0.49,-1,-1.76,-2.22
1955,-1.43,-1.54,-1.9,-2.07,-2.14,-1.21,0.35,2.09,0.95,-0.06,-0.55,-1.7
1956,-2.09,-2.19,-2.83,-3.01,-3.29,-3.35,-2.99,-3.31,-3.98,-3.88,-3.97,-4.25
1957,-3.02,-3.24,-3.15,-2.91,-2,-1.22,-0.96,-0.07,-0.95,0.75,1.52,0.93
1958,0,0.25,1.66,2.18,2.13,1.96,1.28,1.13,2.15,1.87,1.6,0.25
1959,-1.06,-0.98,-2.01,-2.64,-2.98,-3,-2.94,-1.57,-2.08,-0.9,-0.71,0.83
1960,1.4,1.24,0.8,0.41,0.28,0.06,-1,-1.68,-1.74,-0.73,-0.81,-1.09
1961,-1.38,-2.1,-1.82,-2.06,-2.35,-2.54,-2.5,-1.5,-1.15,-0.96,-0.66,0
1962,0.42,0.68,0.75,0.04,-0.28,-0.22,-0.88,-2.08,-1.31,-1.22,-1.34,-1.41
1963,-1.63,-1.78,-1.94,-1.91,-2.37,-2.59,-3.23,-1.16,-0.52,-0.22,0.34,-0.4
1964,-1.14,-1.95,-1.72,-1.47,-1.62,-1.71,-1.44,-0.48,0.34,-0.47,-0.25,-0.45
1965,-0.16,0.12,0.43,1.97,2.42,2.68,2.76,1.93,1.98,1.23,1.7,4.2
1966,3.81,3.9,3.2,2.8,2.46,2.12,1.85,1.37,1.62,1.1,0.7,1.02
1967,0.32,-0.99,-1.96,-2.03,-2.05,-1.54,-0.61,-0.17,0.77,0.04,-0.11,2.35
1968,1.87,1.46,1.36,1.48,1.49,1.46,1.81,1.88,0.7,0.32,0.26,0.16
1969,0.6,0.86,0.91,0.37,0.65,0.4,0.41,0.14,0.1,0.23,0.73,-0.02
1970,-0.88,-1.73,-0.66,0,-0.38,-0.69,-0.82,-0.54,0.46,0.12,-0.37,-0.75
1971,-1.63,-1.91,-2.54,-2.79,-2.8,-3,-3.34,-1.51,-0.83,0.96,0.81,1.48
1972,0.52,-0.84,-2.66,-3.3,-3.51,-2.36,-2.7,-2.64,-2.47,3.29,3.89,4.01
1973,3.63,4.08,5.39,5.17,5.63,5.95,5.19,4.11,2.9,1.7,1.5,-0.16
1974,0.05,-1.11,-1.77,-2.35,-3,-3.34,-2.69,-2.88,-2.66,-0.91,-0.94,-1.14
