Year, Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec
1895,0.85,1.2,0.68,-0.2,0.28,0.92,2.16,1.86,0.87,0.51,1.15,1.3
1896,1.34,0.93,0.87,0.67,-0.31,-0.87,-0.77,-1.31,-0.8,-0.65,-0.47,-0.75
1897,-0.51,0.6,1.61,1.38,1.06,1.13,0.95,1.38,1.06,1.74,1.31,1.27
1898,1.02,0.18,-0.17,-0.83,0.68,0.81,1.22,0.6,0.15,-0.11,0.11,0.09
1899,0.04,0.48,0.59,-0.45,-1.42,-1.75,-0.92,-1.33,-1.77,-1.11,-1.02,-0.68
1900,-1.18,-1.04,-1.83,2.06,1.52,1.13,0.18,-0.99,-0.98,-1.55,-1.82,-2.35
1901,-2.59,-2.56,-2.03,-0.86,-0.66,-0.73,-1.62,-0.83,-1.37,-1.98,-2.64,-2.55
1902,-2.79,-2.94,-2.57,-3.18,-2.74,-3.15,-3.4,-3.22,-2.3,-2.38,-2.33,-1.82
1903,-1.96,-0.83,-0.82,-0.87,-1.19,0.04,-0.04,-0.09,-0.18,-0.68,-1.39,-2
1904,-2.41,-2.65,-2.87,-3.18,-2.46,-1.41,-0.94,-0.42,0.67,0.54,-0.55,-0.86
1905,-0.66,0.26,1.16,3.3,3.91,3.67,3.69,3.03,2.84,2.51,2.47,1.43
1906,1.26,0.54,2.07,3.05,2.95,2.59,2.92,2.63,3.39,3.64,3.73,3.42
1907,3.32,2.8,1.52,1.19,1.57,1.13,1.32,1.51,1.12,0.43,-0.17,-0.1
1908,-0.4,-0.41,-1.43,-2.11,-1.39,-1.47,-0.87,-0.1,-0.66,0.71,1.32,1.76
1909,2.21,2.57,2.83,2.79,2.5,2.5,2.4,2.65,3.29,2.59,2.8,3.03
1910,2.64,2.26,0.54,-0.92,-1.36,-2.25,-2.42,-2.3,-2.35,-2.31,-2.57,-2.6
1911,-2.33,-1.51,-1.87,-2.07,-2.73,-2.92,-1.71,-1.6,-1.53,-0.38,0,0.26
1912,-0.02,0.46,1.74,1.87,1.68,2.53,3.35,3.52,3.58,3.53,2.9,2.33
1913,1.87,2.09,1.57,1.02,-0.27,0.06,0.1,-0.76,0.12,0.08,-0.06,2.44
1914,2.76,2.52,1.97,2.28,2.69,2.96,3.83,3.75,2.87,3.4,2.22,1.8
1915,1.45,1.7,1.38,2.14,3.09,3.63,3.88,4.4,4.7,3.78,3.28,3.13
1916,4.07,3.67,3.03,2.73,2.24,1.31,1.07,1.85,1.3,2.21,1.97,2.05
1917,1.9,1.68,1.45,1.95,3.27,2.84,2.31,2.11,1.98,1.13,-0.11,-1.03
1918,-0.61,-0.26,-0.13,0.2,-0.6,-0.95,-0.38,-0.74,0.42,0.38,0.58,1.05
1919,0.33,0.6,0.89,1.09,0.49,0.22,0.6,-0.05,0.35,0.82,1.95,1.86
1920,1.54,1.64,1.46,2.75,2.65,2.71,2.36,2.74,2.54,2.77,2.38,2.2
1921,2.26,1.96,1.26,1.79,1.58,2.43,2.74,3.2,2.34,1.62,0.73,0.93
1922,0.71,1.03,1.05,2,1.61,0.8,0.43,0.1,-1.27,-2,-1.11,-0.78
1923,-1.03,-1.03,-0.46,-0.41,0.21,1.14,1.91,3.35,3.64,4.8,4.4,4.32
1924,3.7,2.92,3.62,3.19,3.23,2.4,1.8,0.51,0.39,0.39,-0.32,0.33
1925,-0.1,-0.56,-1.28,-2.4,-3.03,-3.02,-2.33,-1.53,-0.72,0.54,1.01,1.17
1926,0.96,0.47,0.8,1.35,1.51,1.29,1.55,0.86,0.24,-0.39,-0.49,-0.35
1927,-0.74,0.18,0.81,0.75,-0.48,0.92,1.83,2.74,3.35,2.64,2.08,1.91
1928,1.13,0.84,0.79,0.19,1.39,2.14,2.3,1.77,0.63,1.12,1.9,1.38
1929,1.21,1.24,1.27,1.34,1.3,0.52,1.26,2.02,2.95,2.8,2.8,2.04
1930,2.06,1.45,0.88,-0.59,-0.06,-0.7,0.18,1.36,1.03,1.19,1.63,0.84
1931,-0.06,-0.06,-0.03,-0.3,-0.21,-0.72,-1.58,-2.11,-2.06,-2.11,-1.23,-1.19
1932,-1.02,-0.58,-0.29,-0.08,-0.85,-0.64,-0.73,-0.84,-1.53,-1.57,-2.27,-2.18
1933,-2.43,-2.65,-2.91,-1.9,-1.21,-1.76,-2.14,-1.44,-0.97,-1.9,-2.38,-2.3
1934,-2.84,-2.23,-2.97,-3.64,-4.39,-4.83,-5.43,-5.48,-5.03,-5.56,-5.31,-5.17
1935,-4.96,-4.94,-4.99,-4.29,-1.8,-1.64,-1.88,-2.05,-1.37,-1.6,-1.74,-2.23
1936,-2.16,-0.83,-1.21,-1.86,-2.23,-2.62,-2.84,-2.28,-1.81,-1.61,-2.05,-1.92
1937,-2.04,-1.6,-1.43,-1.76,-2.3,-1.85,-1.8,-2.32,-2.4,-2.51,-2.48,-2.05
1938,-2.03,-1.86,-0.88,-0.41,0.36,0.62,0.49,0.09,1.61,1.17,1.14,1.02
1939,1.59,2.03,1.97,1.04,-0.53,-1.54,-2.72,-3.29,-3.28,-3.46,-3.85,-4.06
1940,-3.54,-3.17,-2.89,-2.69,-2.57,-3.1,-3.44,-3.56,-2.5,-2.62,-2.07,-1.67
1941,-1.24,-1.19,-0.15,1.23,1.45,2.45,2.95,3.07,4.22,5.47,4.83,4.59
1942,4.26,4.24,4.15,5.66,4.92,5.11,4.55,3.93,3.71,4.04,3.12,2.72
1943,2.5,1.94,1.93,0.64,1.03,1.01,0.43,0.7,-0.5,-0.98,-1.58,-1.6
1944,-0.94,-0.99,0.07,2.5,2.76,2.66,2.88,1.65,0.25,-0.29,-0.13,-0.28
1945,-0.15,-0.1,-0.3,0.86,0.55,1.04,1.36,2.59,2.16,1.78,1.25,0.95
1946,0.52,-0.27,-0.62,-1.71,-1.24,-1.87,-1.83,-1.26,-1.54,-0.42,1.99,1.56
1947,1.39,1.43,1.35,1.4,2.08,3.24,3.3,3.51,2.97,3.03,2.84,2.69
1948,2.82,2.91,3.38,2.75,2.18,2.76,2.25,1.72,0.41,-0.33,-0.42,-0.16
1949,0.73,0.43,0.81,0.34,0.9,2.59,2.86,2.29,1.59,1.63,0.19,-0.46
1950,-0.35,-0.81,-1.27,-1.64,-1.97,-2.45,-1.99,-2.29,-1.55,-2.55,-2.58,-2.67
1951,-2.14,-2.05,-2.26,-1.9,-1.77,-1.11,-1.48,-1.09,-1.47,-1.07,-0.75,0.57
1952,1.19,1.1,1.56,1.68,1.63,0.69,-0.03,0.1,-0.49,-1.83,-1.66,-1.9
1953,-2.02,-2.18,-2.33,-1.68,-1.28,-1.65,-1.31,-1.03,-2.34,-2.24,-1.86,-1.77
1954,-1.93,-2.63,-2.47,-3.5,-3.6,-4.27,-4.27,-4.27,-3.89,-3.67,-3.85,-3.78
1955,-3.68,-3.34,-3.47,-3.65,-2.82,-2.76,-3.13,-2.44,-2.75,-3.23,-2.74,-2.57
1956,-1.62,-1.25,-1.65,-1.79,-2.55,-3.47,-3.52,-3.48,-4.35,-4.56,-4.06,-3.92
1957,-2.76,-2.77,-2.34,0.16,3.21,4.03,4.85,5.11,4.27,4.44,4.76,4.22
1958,3.8,3.64,3.91,3.76,3.51,3.11,2.65,1.73,1.35,0.42,-0.06,-0.54
1959,-0.65,-0.49,-0.4,-0.39,-0.33,-0.63,-1.46,-1.46,-0.58,0.93,0.63,0.36
1960,0.71,1.49,1.64,1.03,0.77,0.17,-0.39,-1.93,-2.17,-1.25,-1.41,-1.03
1961,-1.52,-1.6,-0.79,-0.84,-0.67,-0.63,-0.39,0.09,2.09,2.25,2.48,2.35
1962,2.53,2.74,2.36,1.19,0.57,0.68,0.7,-0.68,-1.21,-1.85,-2.13,-2.47
1963,-2.35,-2.5,-2.52,-3.32,-4.26,-4.18,-4.56,-3.31,-2.73,-3.24,-3.34,-3.41
1964,-3.57,-3.45,-3.13,-2.86,-2.8,-2.84,-3.19,-3.05,-2.99,-3.65,-3.16,-2.21
1965,-1.55,-1.26,-0.65,-0.74,-0.62,1.1,2.44,3.48,4.52,3.97,3.5,3.41
1966,2.92,2.54,1.17,0.1,-1.55,-1.87,-1.85,-1.86,-1.63,-1.83,-2.23,-1.57
1967,-1.51,-1.61,-2.37,-2.75,-2.06,-0.09,0.87,1.17,1.18,0.54,0.09,0.88
1968,0.43,0.62,-0.02,0.22,0.1,-0.76,-0.4,0.38,-0.34,-0.96,-0.78,-0.88
1969,-0.32,-0.46,-0.61,-1.25,-0.88,1.12,1.12,0.85,0.95,3.27,3.11,3.04
1970,2.71,1.88,2.3,2.34,1.14,1.38,1.24,0.82,1.52,2.09,2.22,1.81
1971,1.65,1.8,1.25,1.34,1.37,0.45,0.17,-0.46,0.04,0.48,0.58,0.69
1972,0.52,-0.21,-1.26,-2.04,-2.5,-2.29,-2.66,-2.47,-1.96,-0.58,1.37,2
1973,1.99,1.46,2.21,2.67,3.25,3.24,3.75,2.99,3.25,2.38,1.96,2.3
1974,2.66,2.15,1.66,1.41,-0.59,-0.94,-1.38,-2.05,-2.38,-2.16,-2.04,-1.93
1975,-1.67,-1.45,-0.75,-0.55,0.15,0.54,0.7,0.15,-0.47,-1.31,-0.51,-1.07
1976,-1.26,-1.16,-1.25,-1.36,-1.32,-1.72,-1.94,-1.9,-0.98,-1.12,-1.53,-2.16
1977,-2.53,-3.02,-3.29,-3.09,-3.19,-3.8,-3.28,-2.75,-3.11,-3.4,-3.05,-2.89
1978,-2.29,-1.93,-1.63,-2.06,-0.86,-0.71,-1.56,-2.2,-2.94,-3.02,-2.56,-1.38
1979,-0.27,-0.17,0.77,0.45,1.57,2.17,1.92,2.14,0.82,0.18,0.65,0.55
1980,1.59,2.25,2.73,3,3.82,3.14,2.26,1.43,0.68,-0.01,-0.56,-1.93
1981,-2.76,-3.27,-2.37,-3.15,-2.05,-2.31,-1.51,-0.91,-1.1,-0.37,-0.61,-0.21
1982,0.16,0.04,0.05,-0.54,0.04,0.71,1.06,1.19,2.11,1.97,2.09,2.3
1983,1.84,1.67,2.78,3.09,3.86,4.64,4.67,4.42,3.24,2.45,3.31,4.09
1984,3.71,3.55,4.09,4.62,3.81,4.09,4.25,4.68,4.06,5.38,4.9,4.87
1985,4.66,4.25,4.09,3.94,3.62,2.83,3.37,2.12,2.83,2.92,3.8,3.72
1986,2.88,3.08,1.93,1.96,1.4,1.56,1.62,1.56,1.96,2.7,3.28,2.95
1987,2.92,3.6,3.7,2.59,3.14,3.19,2.66,2.9,2.21,1.5,1.67,1.82
1988,2.09,1.76,1.51,1.16,1.28,1.3,0.6,0.21,0.67,-0.52,-0.47,-0.38
1989,-0.25,0.28,-0.4,-1.69,-2.22,-1.91,-2.11,-1.84,-1.55,-1.82,-2.3,-2.35
1990,-2.13,-1.97,-1.04,-0.94,-0.49,-1.36,-0.18,-0.26,0.23,0.5,0.79,0.65
1991,0.48,-0.28,0.22,-0.15,-0.66,-0.39,0.25,0.83,0.71,0.37,1.81,1.64
1992,1.48,1.05,1.53,0.2,-0.31,0.54,1.29,2.24,1.52,0.72,1.57,1.52
1993,1.84,2.59,2.68,2.62,2.55,2.53,1.86,2.36,2.27,2.67,2.99,2.52
1994,2.22,2.08,1.52,1.79,1.02,0.28,-0.91,-0.85,-1.04,-0.29,0.54,0.31
1995,0.45,0.4,0.87,1.71,4.17,5.22,5.43,4.83,4.86,4.03,3.43,2.62
1996,2.73,2.51,2.25,1.58,1.06,0.84,0.74,0.36,1.15,1.39,1.76,1.78
1997,2.27,2.26,1.19,1.86,1.45,1.85,1.63,2.82,3.2,3.83,3.94,3.73
1998,3.28,3.14,3.2,3.13,2.17,1.75,2.86,2.52,1.59,2.3,2.47,2.03
1999,1.92,1.23,0.03,2.24,3,3.22,3.43,4.37,4.19,3.28,1.89,1.19
2000,1.02,0.76,1.54,0.81,-0.29,-1.14,-1.82,-2.04,-2.04,-1.65,-1.48,-1.53
2001,-1.13,-0.97,-0.77,-0.93,-0.41,-0.97,-0.98,-1.01,-1.27,-1.86,-1.72,-1.99
2002,-2.09,-2.42,-2.61,-3.53,-4.43,-5.24,-6.04,-6.08,-5.09,-4.26,-3.79,-3.73
2003,-3.8,-3.2,-1.92,-1.83,-1.91,-1.03,-2.1,-2.34,-2.16,-2.99,-2.61,-2.48
2004,-2.35,-1.9,-2.62,-1.52,-2.29,-1.84,-1.26,-1.01,-0.41,-0.14,0.93,0.78
2005,1.65,1.56,1.56,1.59,1.05,1.49,0.36,0.46,0.11,1.03,0.74,0.54
2006,0.29,-0.36,-0.35,-1.41,-2.62,-3.61,-3.18,-2.45,-1.09,1.1,0.95,2.37
2007,2.52,2.39,1.82,1.89,1.78,1.21,0.82,0.85,1.05,0.82,-0.25,1.25
2008,1.59,1.89,1.53,1.13,0.62,0.1,-0.65,0.4,0.21,0.17,-0.37,0.17
2009,0.14,-0.25,-0.68,0.01,-0.18,0.99,1.28,0.53,0.5,1.73,1.3,1.39
2010,1.19,1.37,1.68,1.89,1.62,1.37,1.42,1.7,0.59,0.41,0.23,0.43
2011,0.18,0.32,-0.16,-0.02,0.58,0.02,0.27,-0.3,-0.41,-0.13,-0.16,-0.08
2012,-0.44,-0.04,-1.49,-2.36,-3.44,-4.59,-4.59,-5.13,-4.89,-4.85,-5.2,-4.87
2013,-4.69,-4.41,-4.23,-3.72,-3.77,-4.39,-4.08,-3.63,-0.7,-0.03,0.57,0.56
2014,0.85,1.09,0.83,0.46,0.48,0.17,0.71,1.34,1.73,1.37,1.31,1.5
2015,1.12,1.39,0.54,0.43,3.25,3.66,4.08,3.62,2.64,2.5,2.76,2.88
2016,2.67,2.51,2.13,2.8,2.93,2.61,2.11,2.14,1.45,0.23,-0.43,-0.16
2017,-0.31,-0.24,-0.81,-1.19,-1.82,-2.48,-2.48,-2.72,-3.25,-2,-1.8,-1.85
2018,-1.19,-0.5,1.45,0.96,2.26,2.81,2.6,1.94,0.7,0.56,0.6,0.62
2019,1.14,1.64,2.97,2.3,3.22,3.59,3.34,2.7,1.41,1.19,1.13,1.04
2020,0.69,0.88,0.6,-0.19,-1.11,-1.72,-2.08,-3.2,-3.38,-3.64,-9999,-9999
