Year, Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec
1895,0.31,0.67,-0.09,-0.83,0.35,0.03,2.06,2.18,1.2,1.2,1.77,1.56
1896,1.2,0.84,-0.03,-0.85,-1.88,-2.24,-1.7,-2.16,-1.58,1.65,1.42,1.49
1897,2.09,2.2,2.41,2.29,3.35,3.51,3.26,3.07,3.17,3.36,2.5,2.02
1898,2.08,1.4,0.97,0.86,0.34,1.01,2.2,1.88,1.05,-0.01,0.02,0.6
1899,0.26,0.24,0.08,-0.62,-1.52,-1.57,0.62,-1.14,-0.88,-1.38,-0.84,-0.88
1900,-1.13,-1.23,-1.43,-0.22,-0.06,-0.29,-0.72,-1.52,-0.21,-0.08,-0.31,-0.85
1901,-1.04,-0.6,-0.58,-0.34,0.09,-0.58,-0.38,-0.65,-0.92,-0.66,0.01,-0.6
1902,-0.68,-1.16,-1,-1.8,-1.53,-2.25,-2.38,-2.15,-2.3,-2.61,-2.15,-1.7
1903,-1.81,-0.51,-0.29,-0.28,-0.45,2.01,0.89,-0.06,-0.76,-1.62,-2.29,-2.69
1904,-2.9,-3.42,-4,-4.36,-4.33,-3.88,-3.8,-3.33,-0.31,0.82,0.42,0.44
1905,1.18,2.96,4.31,6.13,6.09,6.5,6.28,5.06,4.81,3.85,5.59,5.47
1906,5,4.72,4.56,5.04,4.76,4.14,4.68,4.26,4.03,3.67,3.98,4.25
1907,4.37,3.53,2.34,2.51,2.71,2.83,2.52,3.55,2.72,2.98,2.95,2.33
1908,1.96,2.17,1.33,1.58,1.28,0.39,0.98,1.68,0.72,0.18,0.44,-0.05
1909,-0.87,-1.1,-0.55,-0.83,-1.23,-1.53,-1.69,-1.11,-0.86,-1.15,-1.27,-1.02
1910,-1.16,-1.31,-2.25,-2.45,-3.01,-3.16,-3.61,-3.17,-3.69,-3.68,-3.57,-3.71
1911,-3.69,-2.24,-2.06,-1.65,-1.55,-1.36,1.44,0.87,0.84,1.56,1.31,1.41
1912,0.71,1.09,1.54,1.68,1.28,1.91,1.65,1.87,1.45,1.12,0.35,0.06
1913,-0.09,0.51,0.58,1.06,0.04,1.36,0.16,-0.98,-0.33,-0.66,0.05,1.35
1914,0.75,0.35,-0.24,-0.05,0.93,1.56,3.11,2.92,1.89,2.64,2.08,2.91
1915,3.06,3.33,3.79,5.74,5.94,5.79,6.46,5.76,5.73,4.56,3.69,3.39
1916,4.16,3.31,2.84,3.08,2.4,1.21,0.88,1.74,1.18,2.54,2.1,1.64
1917,1.66,1.3,0.73,0.25,0.56,-0.22,-1.08,-1.37,-1.39,-2.27,-2.73,-3.32
1918,-2.69,-2.62,-2.67,-2.74,-3.04,-3.04,-2.88,-2.87,-3.15,-2.36,-1.44,0.33
1919,0.04,0.26,2.69,3.85,4.46,4.91,5.47,4.73,5.4,5.2,5.13,4.51
1920,4.41,4.17,3.81,3.56,3.64,4.16,3.39,3.34,2.65,2.86,2.26,1.55
1921,1.13,0.63,-0.12,-0.79,-0.51,1.19,2.86,3.12,2.14,0.89,-0.34,-1.02
1922,-1.13,-1.3,-1.25,-0.74,-0.83,-0.78,-1.71,-2.63,-3.17,-3.54,-2.75,-3
1923,-3.15,-2.31,-1.61,-0.62,-0.97,-1.05,-1.4,-0.04,0.54,1.84,2.92,3.85
1924,3.33,2.91,3.33,3.4,3.2,2.6,2.69,1.45,0.11,-0.83,-1.6,-1.27
1925,-1.46,-1.99,-2.58,-3.16,-3.18,-3.22,-2.39,-1.69,-1.04,-0.5,-0.7,-0.87
1926,-0.71,-1.29,0.7,2.08,3.17,3,2.89,1.91,2.03,1.81,0.86,1.48
1927,0.64,0.68,0.4,-0.54,-1.63,-0.7,-0.48,0.17,1.35,0.46,-0.68,-0.72
1928,-1.45,-0.79,-1.25,-1.26,0.35,-0.54,-1.02,0.23,-0.84,0.15,0.64,0.27
1929,-0.22,0.02,0.23,-0.19,1.11,0.31,1.33,2.03,2.37,2.23,2.33,1.47
1930,1.42,0.52,0.58,-0.03,-0.3,-0.84,0.33,-0.03,-0.7,-0.3,0.24,-0.07
1931,0,1.22,1.66,3.1,3.3,3.1,2.9,3.05,3.12,2.64,3.12,3.14
1932,3.27,3.26,3.23,3.01,3.14,3.09,3,2.84,3.05,2.78,1.81,1.91
1933,1.57,1.45,0.64,0.28,-0.18,0.59,0.51,0.9,0.37,-0.21,-0.44,-1.32
