Year, Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec
1895,0.7,0.92,0.9,-0.15,-0.07,-0.43,-0.35,-0.7,-1.03,-1.34,-0.78,-0.95
1896,-0.86,-1.37,-1.31,-0.99,-0.09,-0.51,0.3,0.17,0.2,-0.36,0.06,-0.68
1897,-0.29,1.3,2.19,1.8,1.09,0.41,0.01,-0.67,-0.11,1.28,1.03,1.24
1898,1.22,0.6,0.95,0.3,1.68,1.84,1.5,0.9,-0.42,-0.93,-0.81,-1.26
1899,-1.32,-0.99,-0.13,-0.79,-0.96,-0.81,-0.8,-0.69,-1.48,-0.6,-1.11,-0.87
1900,-1.53,-1.96,-3.09,-1.79,-2.36,-3.03,-3.68,-3.96,-3.27,-3.14,-2.79,-3.28
1901,-3.38,-2.58,-2.43,-2.4,-2.4,-2.59,-2.93,-2.12,-2.55,-2.56,-3.15,-3.05
1902,-3.28,-3.42,-2.94,-2.86,-3.17,-3.6,-3.77,-3.87,-3.78,-4.13,-3.06,-2.75
1903,-2.09,-1.73,-1.02,-0.19,0.98,1.4,1.12,0.33,0.34,-0.09,-0.98,-1.82
1904,-2.02,-1.47,0.05,-0.37,0.03,-0.1,-0.17,0.11,-0.45,-0.63,-1.85,-2.1
1905,-2.34,-1.59,-0.56,-0.03,1.07,1.09,0.7,0.23,1.23,0.58,1.15,0.65
1906,0.86,0.63,2.46,3.23,4.15,4.32,4.39,4.9,4.86,3.79,4.16,4.29
1907,5.04,5.08,5.07,4.52,5.01,5.55,5.51,5.72,4.83,4.47,3.55,3.53
1908,2.99,2.74,2.26,1.21,2.11,2.51,2.74,2.91,3.4,4.2,3.77,3.58
1909,4.57,5.13,4.89,4.68,4.32,3.79,3.75,4.74,4.95,3.81,4.47,4.92
1910,4.9,4.69,3.46,2.14,0.69,-0.87,-1.53,-1.82,-1.58,-1.26,-1.58,-1.44
1911,0.41,1.26,1.36,1.14,0.59,0.89,1.35,0.48,1.37,1.52,1.29,0.79
1912,0.06,-0.58,0.98,1.61,1.57,1.57,2.1,2.01,1.72,3.36,3.11,2.6
1913,2.21,2.46,2.26,1.75,1.01,1.45,1.94,1.75,1.93,1.59,2.21,2.34
1914,3.48,3.37,2.54,2.85,2.58,3.37,4.58,4.04,3.4,3.4,2.25,1.45
1915,0.87,1.5,0.66,0.78,1.6,1.77,1.59,0.62,1.38,-0.03,0.01,0.04
1916,2.02,2.15,2.42,1.65,1.08,0.44,1,1.19,0.67,2.5,2.05,2.43
1917,2.35,2.42,2.17,2.93,4.2,4.33,4.52,3.75,3.39,1.97,1.14,-0.72
1918,-0.62,-0.98,-0.66,-0.85,-1.17,-1.24,-0.52,-0.91,-0.36,-0.21,0.15,0.13
1919,-0.84,-0.31,-0.36,-0.7,-1.06,-1.88,-2.04,-2.16,-1.26,-0.53,0.46,0.58
1920,0.41,0.78,2.01,3.02,3.22,3.31,2.79,3.06,2.65,3.72,3.48,3.32
1921,3.35,2.94,2.34,2.58,2.89,2.79,2.87,3.61,2.83,2.23,1.26,2.06
1922,2.05,2.5,2.68,3.2,3.29,3.19,2.73,3.38,2.25,1.38,1.71,2.21
1923,2.19,1.8,1.77,2.48,2.48,2.36,2.8,2.99,2.94,3.03,2.48,2.13
1924,1.09,-0.6,-0.12,-0.65,-1.31,-2.14,-2.09,-2.54,-2.44,-2.03,-2.13,-1.3
1925,-1.65,-1.71,-1.81,-1.83,-2.38,-1.36,-0.48,0.98,1.76,2.2,2.02,1.51
1926,0.58,0.18,-0.69,-0.43,-0.53,-1.27,-1.08,-0.94,-0.96,-1.72,-1.58,-1.24
1927,-1.31,0.01,0.67,0.7,0.36,1.01,1.13,1.42,2.46,2.4,2.21,1.88
1928,0.98,0.42,0.37,-0.19,-0.43,-0.81,-1.39,-1.71,-2.34,-1.75,-1.05,-1.19
1929,-1.05,-0.78,-0.47,0.32,0.07,-0.05,0.34,1.11,2.18,1.39,0.18,-1.06
1930,-0.77,-1.22,-1.51,-2.19,-1.77,-2.03,-1.44,0.81,1.73,1.61,1.81,0.78
1931,-0.75,-1.5,-2.09,-2.36,-2.77,-3.31,-3.53,-3.53,-3.48,-3.47,-2.53,-1.8
1932,-1.45,-0.2,-0.06,0.37,0.21,0.61,1.28,2.04,1.09,0.41,-1.19,-1.3
1933,-1.26,-1.77,-2.17,-1.79,-0.8,-1.36,-1.18,-1.69,-1.95,-2.6,-2.77,-2.84
1934,-3.12,-3.3,-4.5,-5.54,-6.43,-6.61,-6.64,-6.19,-6.01,-6.14,-5.35,-4.89
1935,-4.71,-4.53,-3.99,-2.97,-1.49,-1.49,-1.8,-1.71,-2.11,-2.76,-2.86,-2.92
1936,-2.83,-1.38,-1.28,-1.84,-2.5,-2.3,-0.58,0.47,0.13,0.43,-0.04,0.72
1937,1.15,1.74,2.03,1.68,1.5,1.08,1.97,1.38,1.29,0.69,-0.42,-0.25
1938,-0.57,-0.43,1.35,0.89,1.49,1.6,1.35,1.18,0.7,0.88,0.97,0.62
1939,0.55,0.43,-0.06,-0.9,-1.54,-1.9,-2.16,-2.41,-0.18,-0.03,-0.96,-2.09
1940,-1.66,-0.89,-1.36,-1.33,-2.31,-2.92,-3.45,-3.64,-1.34,-1.05,-0.68,0.03
1941,0.18,0.47,0.93,2.83,3.03,3.9,4.29,4.29,4.2,5.55,5.16,5.38
1942,4.79,4.51,4.26,4.05,3.74,3.24,2.75,1.85,0.92,0.28,0.17,-0.61
1943,-0.74,-1,-1.01,-1.97,-2.47,-1.73,-1.64,-1.18,-1.69,-1.31,-1.65,-1.73
1944,-1.32,-0.94,-0.05,1.82,1.85,2.81,2.5,1.32,-0.23,-1.79,-1.12,-1.3
1945,-1.68,-1.45,-0.3,0.25,0.16,1.38,1.62,2.57,1.97,1.79,1.55,1.59
1946,0.99,-0.04,-0.3,-0.88,-0.79,-1.6,-1.79,-1.42,-1.98,1.12,2.72,3.09
1947,2.85,2.26,1.27,1.1,1.14,2.09,1.79,2.75,2.11,2.19,2.3,2.51
