Year, Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec
1895,0.52,0.49,0.49,-0.49,-0.28,0.32,0.24,-0.09,-0.46,-1,-0.44,-0.72
1896,-0.3,-0.6,0.23,0.32,0.66,0.26,0.51,0.31,0.9,0.17,1.11,0.4
1897,0.51,1.11,2.06,1.56,0.06,-0.23,-0.25,-0.51,-1.4,-1.03,-0.7,-0.28
1898,-0.19,-0.56,-0.16,-0.96,0.8,1.04,1.18,0.53,-0.11,-0.16,-0.07,-0.47
1899,0.2,1,1.77,1.09,1.15,1.27,1.43,1.27,0.28,0.92,0.19,0.23
1900,-0.56,-0.45,-1.38,1.07,-0.47,-2.28,-3.14,-3.57,-3.19,-3.32,-3.26,-3.38
1901,-3.56,-3.19,-3.08,-2.7,-2.75,-2.47,-2.99,-2.95,-3.03,-3.1,-3.58,-2.85
1902,-3.08,-2.97,-2.64,-2.5,-2.75,-2.93,-3.03,-3.37,-2.94,-3.36,-3.29,-2.45
1903,-2.11,-1.72,-1.53,-1.19,-0.84,-1.01,-0.42,-0.4,0.27,-0.39,-0.52,-0.93
1904,-1.03,0.19,1.24,0.59,0.82,0.85,0.84,0.7,-0.16,-0.61,-1.84,-2.07
1905,-1.92,-2.03,-1.87,-0.83,0.44,0.82,1.44,1.54,1.47,1.71,1.36,0.59
1906,0.46,0.16,1.48,1.52,2.44,2.44,2.54,3.73,3.59,3.24,3.08,3.03
1907,3.09,3.07,3.08,2.46,2.93,3.38,3.74,3.82,3.46,2.27,1.38,1.04
1908,0.34,-0.21,-0.58,-1.84,0.89,2.17,2.42,3.21,2.74,3.4,2.95,3
1909,3.46,3.65,3.54,3.21,3.4,3.48,3.62,3.55,3.75,2.78,3.03,3.46
1910,3.31,3.05,1.16,-1.38,-1.82,-2.96,-3.49,-3.96,-3.52,-3.3,-3.31,-3.21
1911,-2.28,-1.96,-2.54,-2.51,-2.92,-3.15,-3.44,-3.55,-3.35,-2.26,-1.55,-1.31
1912,-1.08,-0.61,0.99,1.65,1.79,1.68,2.97,4.12,5.05,5.58,4.9,4.32
1913,4.01,3.79,3.67,2.47,1.58,1.52,2.07,1.71,1.92,2.36,1.99,2.16
1914,2.02,1.82,1.13,1.71,1.03,0.88,0.7,0.16,-0.33,-0.15,-1.37,-1.95
1915,-1.97,-1.88,-1.69,-1.92,-0.85,0.74,1.82,2.47,4.69,3.91,3.65,3.61
1916,3.82,3.76,3.45,2.52,2.17,1.43,1.02,1.05,0.13,0.98,0.9,1.32
1917,1.38,1.7,1.89,2.58,3.81,3.44,3.18,2.44,1.86,1.16,-0.23,-0.35
1918,0.24,0.35,-0.19,0.8,0.79,0.28,1.02,0.97,1.94,1.6,1.31,0.88
1919,-0.22,-0.25,-0.88,-1.16,-2.43,-3.81,-4.49,-4.91,-4.28,-2.41,-0.91,-0.42
1920,-0.23,0.53,1.26,3.22,3.44,3.33,3.23,3.36,2.88,2.96,2.56,2.32
1921,2.32,1.73,0.93,0.59,0.4,0.51,0.14,-0.1,-0.64,-1.63,-1.53,-0.64
1922,-0.2,0.36,-0.04,1.26,1.47,1.07,1.61,2.09,0.79,-0.02,1,1.23
1923,1.13,0.94,1.13,1.53,1.43,1.86,2.86,3.6,5.24,6.08,5.36,5.05
1924,4.46,4.21,4.53,3.9,3.32,2.52,2.15,1.24,1.13,1.84,1.68,2.04
1925,1.79,1.56,1.02,0.56,-0.24,0.08,0.23,0.5,0.74,2.18,2.02,2.26
1926,2.24,2.07,1.42,0.47,0.12,-0.15,0.43,1.15,1.54,1.01,1.46,1.28
1927,1.05,1.3,1.42,2.23,2.7,3.1,3.66,4.44,4.84,4.24,4.32,4.09
1928,3.66,3.1,2.77,2.07,1.09,1.74,2.41,2.13,1.22,1.57,1.84,1.36
1929,1.35,1.35,2.14,2.7,2.59,2.36,2.24,1.81,2.76,2.49,2.34,1.69
1930,1.57,1.2,0.92,-0.31,-0.25,-1.09,-1.21,1.18,1.07,1.95,1.79,1.14
1931,0.25,-0.33,-0.23,-0.82,-1.21,-2.39,-2.84,-2.87,-2.91,-2.59,-2.36,-2.37
1932,-2.04,-2.02,-1.43,-0.74,-1.01,-0.72,-0.87,-0.77,-1.61,-1.03,-1.44,-1.39
1933,-1.36,-1.41,-1.58,-0.29,0.97,-0.42,-1.84,-1,-1.37,-2.52,-2.9,-3.02
1934,-3.22,-3.07,-3.45,-4.03,-5.81,-6.1,-6.46,-6.54,-5.84,-5.88,-5.65,-5.22
1935,-5.2,-5.05,-4.77,-3.82,-1.6,-1.53,-1.68,-1.89,-2.27,-2.65,-2.67,-2.86
1936,-2.49,-1.32,-1.09,-1.22,-2.74,-3.12,-3.4,-3.06,-3.21,-2.89,-2.92,-2.79
1937,-2.74,-2.35,-1.97,-1.66,-2.07,-1.56,0.13,-0.24,-0.65,-0.84,-0.63,-0.12
1938,-0.23,-0.5,0.12,0.11,0.95,0.71,1.18,1.07,1.05,0.61,0.92,0.64
1939,0.52,0.69,0.18,-0.9,-2.01,-2.07,-2.76,-2.92,-2.89,-2.86,-3.58,-3.85
1940,-3.39,-3.04,-3.1,-1.99,-2.94,-3.52,-3.95,-4.36,-3.22,-3.16,-2.61,-2.58
1941,-2.68,-2.81,-2.72,-0.54,-0.93,0.03,0.87,2.43,3.18,3.52,3.21,3.28
1942,2.83,2.55,2.1,2.38,2.95,2.68,2.49,1.83,1.6,1.96,2.73,2.6
1943,2.76,2.42,2.57,1.64,1.59,1.98,1.63,1.42,0.17,0.02,-0.69,-1.06
1944,-0.74,-0.76,-0.01,0.54,0.41,2.48,2.84,2.15,1.46,0.32,0.52,0.46
1945,0.25,0.55,0.93,1.61,1.66,3.45,3.85,4.65,4.94,3.92,3.66,3.63
1946,3.1,2.51,2.36,0.44,1.07,0.81,0.29,0.12,0.7,2.4,2.74,2.71
1947,2.53,2.35,2.28,2.28,2.1,3.86,4.04,4.03,3.64,3.06,3.35,2.89
1948,2.65,2.58,2.32,2.02,0.82,1.29,1.09,0.48,-0.19,-0.87,-0.42,0.04
1949,1.54,1.39,1.38,-0.03,0.2,0.49,0.25,-0.39,-0.66,0.78,-0.15,-0.07
1950,0.18,-0.22,0.06,0.44,0.83,0.63,1.03,0.52,1.84,0.69,0.88,0.29
1951,0.3,-0.06,-0.31,-0.4,-0.81,-0.46,-0.01,0.44,0.76,1.3,0.99,1.31
1952,1.01,1.13,1.29,0.31,0.86,0.4,0.1,0.23,-0.98,-2.4,-2.57,-2.7
1953,-2.29,-1.45,-1.81,-1.23,-0.64,-0.68,-1.12,-0.82,-1.79,-2.35,-2.45,-2.51
1954,-2.45,-2.91,-1.99,-2.83,-3.45,-3.79,-4.28,-4.28,-4.44,-4.16,-4.59,-4.49
1955,-4.3,-3.56,-3.23,-3.04,-3.01,-2.46,-2.59,-2.54,-2.43,-2.85,-2.1,-1.03
1956,-0.61,-0.65,-0.85,-0.7,-0.88,-2.09,-2.53,-2.64,-3.38,-3.59,-3.13,-2.93
1957,-2.74,-2.74,-2.49,-0.97,1.67,3.03,3.3,3.41,3,2.87,2.82,2.32
1958,1.67,1.44,1.47,1.81,0.33,0.32,0.98,0.67,-0.34,-1.77,-1.46,-1.26
1959,-1.25,-0.81,-0.55,-0.84,-0.44,-0.66,-1.33,-1.79,-0.61,-0.56,-0.88,-1.53
1960,-1.7,-1.42,-1.71,-2.27,-3.06,-3.66,-4.46,-4.33,-4.46,-4.31,-3.56,-3.39
1961,-3.75,-3.44,-3.25,-3.32,-3.25,-4.02,-4.2,-4.2,-1.96,-0.84,-0.44,-0.34
1962,0.23,0.79,0.73,-0.16,0.64,1.56,2.16,2.02,1.42,0.8,0,-0.74
1963,-0.72,-0.85,-1.38,0.04,-0.68,0.11,-0.29,-0.36,0.04,-1.11,-1.51,-1.72
1964,-1.74,-1.72,-1.67,-0.66,-0.55,1.08,0.5,0.22,-0.74,-1.9,-1.52,-0.36
1965,0.23,0.11,-0.18,-0.55,0.37,1.56,2.12,2.31,3.46,2.15,1.24,0.79
1966,0.06,-0.36,-1.26,-1.29,-2.74,-3.17,-3.78,-3.54,-3,-2.57,-2.49,-2.25
1967,-1.8,-1.53,-1.57,-1.28,-0.62,2.85,3.17,2.67,2.53,2.13,1.96,2.29
1968,1.9,1.79,1.18,1.45,1.73,2.49,2.19,3.49,3.01,2.13,1.95,1.93
1969,2.07,1.83,1.11,0.41,-1.55,0.15,0.02,-0.79,-1.75,-0.68,-0.72,-0.73
1970,-0.3,-0.73,0.06,1.14,0.97,1.63,1.7,0.77,0.93,1.15,1.52,1.58
1971,1.75,1.87,1.84,2.96,3.71,3.17,2.6,1.86,2.01,3.35,3.16,2.99
1972,3.33,2.92,2.14,1.9,1.31,1.29,0.94,1.53,1.33,1.82,1.73,1.96
1973,1.79,1.29,1.63,2.63,1.95,1.36,2.39,2.02,3.64,2.95,3.31,3.39
1974,3.22,2.76,2.37,2.43,1.07,-0.13,-0.95,-1.16,-1.65,-1.61,-1.56,-1.73
1975,-1.2,-1.12,-0.52,0.3,1.59,2.5,2.88,2.41,1.39,1.49,1.49,1.42
1976,1.35,1.39,1.1,1.48,1.12,1.52,1.11,1.14,0.8,0.48,-0.18,-1.04
1977,-1.22,-1.79,-1.44,-2.01,-2.21,-3.24,-2.96,-2.17,-2.43,-2.36,-1.82,-1.11
1978,-0.48,0.11,-0.2,-0.21,2.58,2.12,2.4,2.57,2.35,1.23,1.37,1.92
1979,1.94,1.75,1.49,0.77,0.43,-0.14,-0.62,0.53,-0.99,-1.32,-1.04,-1.44
1980,-0.49,-0.33,0.21,-0.49,0.51,-0.27,-0.75,-0.26,-0.42,-0.32,-0.54,-0.86
1981,-1.56,-1.82,-2.05,-2.9,-1.28,-1.77,-1.44,-1.59,-2.28,-1.44,-1.63,-1.13
1982,-0.86,-1.04,-0.73,-0.66,-0.27,0.62,1.65,1.8,3.71,4,3.88,4.25
1983,3.62,3.11,3.48,3.66,3.87,4.05,4.33,4.69,3.99,3.78,4.89,5.16
1984,4.64,4.25,4.1,4.95,4.13,4.17,4.69,4.69,4.7,4.32,3.94,3.49
1985,3,2.35,1.96,0.5,-0.9,-1.54,-1.71,-2.23,-1.18,-1.06,0.14,0.54
1986,0.37,1.87,1,1.58,1.23,1.21,1.19,0.82,2.11,2.75,3.11,2.46
1987,2.2,2.44,2.61,0.51,0.52,-0.11,0.65,1.48,0.69,-0.39,-0.24,0.02
