Year, Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec
1895,1.28,0.05,-0.65,-0.81,0.02,0.35,0.42,0.25,-0.07,0.28,1.28,-0.4
1896,-0.49,-0.85,-0.46,0.34,-0.28,-1.17,1.05,-0.13,0.54,1.44,-0.08,-0.59
1897,1.31,0.44,0.74,-0.29,-0.67,0.4,0.17,-0.31,1.09,0.89,-0.96,-0.15
1898,1.01,-1.28,0.19,-0.73,0.77,0.55,0.24,-0.07,-0.66,-0.42,0.15,0.55
1899,0.03,-0.23,-0.48,-0.64,0.66,1.05,0.53,-0.18,-0.75,0.47,-0.24,-0.91
1900,-1.42,-0.88,-1.01,1.8,-0.47,-0.67,-1.25,-0.33,1.2,-0.14,0.15,-1.33
1901,0.21,1.03,-0.16,0.18,0.39,0.52,-0.54,-0.26,-0.67,0.2,-0.9,-0.94
1902,-0.12,-0.64,0.37,-0.86,0.48,-0.63,-0.25,-0.01,0.16,-0.72,1.31,0.45
1903,-0.75,0.65,0.48,0.28,0.64,0.99,-0.14,-0.58,0.87,-0.4,-1.35,-1.16
1904,-0.66,-0.85,-0.76,-0.66,-0.03,-0.25,0.38,1.04,-0.03,0.1,-0.96,-0.23
1905,1.11,2.16,1.74,1.86,1.03,0.78,-0.02,-0.71,0.84,-0.36,2.29,0.23
1906,-0.11,0.01,0.97,0.79,0.17,0.31,0.22,1.26,0.17,-0.41,1.08,1.49
1907,1.23,-0.72,-0.09,0.04,1.48,1.28,0.36,1.01,-0.19,1.43,0.1,-0.97
1908,-0.09,1.26,-0.44,0.22,1.23,0.73,0.91,0.64,0.16,0.61,-0.3,1.21
1909,-0.43,0.53,0.71,-0.18,0.52,-0.12,0.61,1.68,0.63,-0.73,0.17,0.75
1910,0.34,-0.79,-1.23,-0.63,-1.05,0.04,0.26,-0.21,-0.89,-0.19,0.69,-0.76
1911,0.62,0.98,-0.31,0.1,-0.02,0.96,1.75,-0.38,1.03,1.23,-0.51,-0.13
1912,-1.25,-0.82,1.69,1.3,0.4,0.47,1.53,0.39,0.07,1.39,-0.74,-0.3
1913,-0.16,1.46,-0.08,0.13,-0.07,0.8,0.63,-0.18,0.3,0.03,1.02,0.19
1914,0.05,0.13,-0.73,-0.44,0.01,0.75,1.49,-0.19,-0.5,1.23,-0.51,1.43
1915,1.23,1.01,0.14,1.36,1.37,0.69,1.17,-0.73,0.12,-0.98,0.26,1.03
1916,2.08,-0.97,-0.17,-0.23,0.34,-0.12,0.99,0.78,0.45,1.41,-0.61,-0.04
1917,1.22,0.11,-0.24,1.42,1.97,-0.39,0.66,-0.47,-0.02,-1.11,-1.29,-1.74
1918,0.8,0.1,0.33,-0.17,0.71,-0.48,0.55,0.49,-0.59,-0.13,0.95,0.9
1919,-0.62,0.87,0.49,-0.1,0.16,-0.2,1.89,-0.21,1.07,0.9,1.71,-0.41
1920,0.88,1.11,0.78,0.68,0.32,1.12,-0.58,0.37,0.23,1.15,-0.39,-0.66
1921,-0.19,-0.79,-1.04,0.25,0.79,0.15,1.44,1.52,-0.44,0.04,-0.72,0.51
1922,0.79,-0.12,0.71,0.98,0.01,-0.26,-0.32,0.21,-0.74,-0.49,1,-0.7
