Year, Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec
1895,1.38,0.88,-0.35,-0.94,0.52,1.04,1.61,-0.15,-0.98,-0.09,1.12,0.38
1896,0.24,-0.62,0.11,-0.06,-0.97,-0.69,0.4,-0.6,0.68,0.3,0.37,-0.6
1897,0.46,1.32,1.21,-0.15,-0.2,0.34,0.18,0.55,-0.31,0.9,-0.47,0.31
1898,0.06,-1.27,-0.22,-0.54,1.3,0.24,0.49,-0.68,-0.13,0.12,0.6,0.19
1899,0.17,0.71,0.21,-1.03,-0.76,-0.17,0.91,-0.49,-0.74,0.54,-0.32,0.46
1900,-1.36,0.25,-1.28,2.27,-0.81,-0.53,-0.85,-1.2,0.23,-0.73,-0.36,-1.1
1901,-0.36,0.15,0.72,0.89,-0.07,0.06,-1.3,0.63,-0.57,-0.81,-1.39,0.24
1902,-0.52,-0.42,0.26,-1,0.12,-0.6,-0.2,-0.15,0.85,-0.37,-0.01,0.7
1903,-0.55,1.21,-0.09,-0.11,-0.21,1.25,-0.23,-0.11,0.22,-0.51,-0.87,-1.11
1904,-0.9,-0.61,-0.45,-0.48,0.78,1.1,0.44,0.6,0.86,-0.06,-1.62,-0.21
1905,0.73,1.12,0.99,1.79,0.82,-0.51,0.48,-0.69,0.08,0.21,0.33,-1.36
1906,0.16,-0.85,1.81,1.19,0.03,-0.18,0.96,0.02,1.28,0.79,0.7,-0.65
1907,0.16,-0.93,-1.19,0.16,0.95,0.28,0.41,0.56,-0.17,-0.66,-0.55,0.6
1908,-0.41,0.17,-1.35,-0.83,0.84,0.01,0.68,0.86,-0.7,1.31,0.59,0.45
1909,0.48,0.79,0.5,0.36,0.05,0.11,0.08,0.54,1.13,-0.54,0.77,1.07
1910,-0.44,-0.27,-2.06,-0.85,-0.11,-0.72,-0.25,0.09,-0.36,-0.25,-0.96,-0.34
1911,-0.12,1.01,-0.98,-0.28,-0.95,-0.23,1.26,0.11,-0.27,1.22,0.36,0.03
1912,-0.62,0.57,1.34,0.31,-0.16,1.2,1.23,0.44,0.82,0.5,-0.7,-0.66
1913,-0.25,0.96,-0.4,-0.32,-1.11,0.69,0.41,-1.01,1.08,0.27,-0.34,1.99
1914,0.14,-0.28,-0.71,0.66,0.59,0.38,1.26,0.23,-0.91,1.03,-1.83,-0.08
1915,0.16,0.93,-0.06,0.93,1.21,0.87,0.33,0.77,0.66,-0.67,-0.27,0.43
1916,1.36,-0.48,-0.75,0.11,-0.24,-0.67,0.18,1.23,-0.25,1.22,-0.17,0.3
1917,0.02,-0.18,0.01,0.88,1.58,-0.28,-0.58,0.24,0.15,-0.4,-1.38,-1.04
1918,1.15,0.69,0.05,0.43,-0.79,-0.46,0.92,-0.36,1.17,0.08,0.48,0.88
1919,-1.41,0.79,0.44,0.29,-0.79,-0.31,0.43,-0.71,0.4,0.89,1.38,-0.01
1920,-0.52,0.25,-0.11,1.49,0.07,0.35,-0.29,0.98,0.26,0.72,-0.18,0.23
1921,0.75,-0.25,-0.83,0.91,-0.01,1.21,0.69,0.96,-0.96,-0.77,-0.85,0.81
1922,0.01,0.57,0.24,1.04,-0.27,-0.86,-0.04,-0.14,-1.4,-0.99,1.05,0.11
1923,-1.11,-0.23,0.57,0.1,0.45,0.94,0.86,1.6,0.79,1.52,-0.35,0.53
1924,-0.59,-0.83,1.28,-0.1,0.33,-1.15,-0.33,-1.26,0.28,0.23,-0.81,1.27
1925,-0.85,-0.96,-0.94,-1.43,-0.8,0.3,0.77,0.88,0.5,1.16,0.15,-0.03
1926,-0.08,-0.81,0.48,0.6,0.33,-0.18,0.73,-0.64,-0.36,-0.51,0.07,0.5
1927,-0.64,0.85,0.84,0.01,-1.28,1.48,0.88,1.27,0.94,-0.73,-0.41,0.18
1928,-1.33,-0.21,0.14,-0.29,1.03,1.04,0.39,-0.26,-0.83,0.76,1.1,-0.88
1929,-0.28,0.22,0.16,0.35,0.15,-0.72,0.85,0.97,1.41,0.19,0.31,-1.29
1930,0.55,-1.04,-0.34,-1.21,0.82,-0.61,1.02,1.05,-0.19,0.26,0.84,-1.11
1931,-1.55,0.31,0.24,-0.29,0.16,-0.69,-0.88,-0.6,-0.32,-0.32,0.92,-0.41
1932,0.13,0.08,0.36,0.26,-0.98,0.52,-0.07,-0.07,-0.79,0.05,-1.17,0.21
1933,-0.92,-0.64,-0.53,1.03,0.62,-0.99,-0.57,0.57,0.13,-1.5,-1.01,0.26
1934,-1.61,1.13,-1.49,-1.22,-1.35,-0.65,-1.36,-0.71,0.29,-1.85,-0.3,-0.61
1935,-0.61,-0.74,-0.61,0.56,1.75,-0.51,-0.77,-0.54,0.65,-0.41,-0.24,-0.97
1936,0.14,0.88,-0.63,-0.9,-0.54,-0.47,-0.4,0.3,0.42,0.28,-0.88,0.2
1937,-0.31,0.51,0.17,-0.52,-0.8,0.74,-0.13,-1.09,-0.4,-0.35,-0.18,0.61
1938,-0.19,-0.03,0.76,0.52,0.73,0.32,-0.13,-0.58,1.4,-0.65,0.28,0.12
1939,1.1,0.87,0.04,-0.88,-1.21,-0.55,-1.44,-0.97,-0.51,-0.66,-1.14,-0.75
1940,1.12,0.5,0.03,0.01,-0.37,-0.96,-0.69,-0.43,0.89,-0.6,0.51,0.31
1941,0.54,-0.3,1.06,1.25,0.09,1.16,0.47,0.34,1.51,1.62,-0.82,0.23
1942,0.09,0.66,0.37,1.72,-0.5,0.53,-0.55,-0.39,0.39,0.91,-0.7,0.24
1943,0.1,-0.73,0.31,-1.48,0.68,0.23,-0.74,0.19,-1.02,-0.27,-0.57,0.13
1944,0.96,-0.12,1.12,1.8,0.23,-0.16,0.32,-1.33,-1.11,-0.45,0.5,-0.06
1945,0.53,0.24,-0.39,1.17,-0.4,0.89,0.26,1.23,-0.08,-0.23,-0.53,-0.22
1946,-0.41,-1.2,-0.17,-1.04,0.66,-0.76,0.03,0.67,-0.49,1.08,1.74,-1.5
1947,-0.21,0.19,0.07,0.29,0.71,1.45,-0.27,0.24,-0.61,0.25,0.26,0.25
1948,0.78,0.67,1.06,-0.6,-0.45,1.02,-0.55,-0.3,-1.34,-0.48,0.33,0.36
1949,1.16,-0.57,0.52,-0.44,0.64,1.7,0.2,-0.6,-0.48,0.51,-2.1,-0.73
1950,0.29,-0.72,-0.49,-0.31,-0.23,-0.45,0.74,-0.51,0.72,-2.06,-0.18,-0.66
1951,0.74,-0.11,-0.45,0.38,-0.04,0.77,-0.7,0.42,-0.46,0.46,0.55,1.15
1952,0.3,-0.27,0.73,0.26,0.01,-1.22,-0.54,0.33,-0.65,-1.56,0.63,-0.25
1953,-0.78,-0.42,-0.48,0.69,0.47,-0.8,0.13,0.23,-1.78,-0.2,0.36,0.09
1954,-0.53,-2.25,0.21,-1.95,-0.28,-1.04,-0.38,-0.37,-0.16,-0.19,-1.03,-0.29
