Year, Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec
1895,0.87,0.97,-0.85,-1.13,0.96,0.38,1.74,0.38,-1.15,0.48,1.17,0.05
1896,-0.49,-0.29,-0.74,-0.5,-1.6,-1.03,0.53,-0.74,0.53,1.81,-0.5,0.1
1897,1.3,0.41,0.75,0,1.13,0.38,0.14,0.28,0.52,0.85,-1.09,-0.14
1898,0.78,-0.87,0.06,0.16,0.11,1.06,1.34,-0.03,-0.56,-0.62,0.43,0.95
1899,-0.14,0.21,-0.25,-0.79,-0.67,0.2,1.46,-1.36,0.09,-0.35,0.44,-0.08
1900,-0.69,-0.12,-0.44,1.57,0.1,-0.3,-0.54,-0.94,1.25,0.18,-0.43,-0.8
1901,-0.17,0.84,0.2,0.54,0.53,-0.4,0.07,-0.23,-0.26,0.27,0.6,-0.79
1902,-0.06,-0.7,0.45,-1.62,0.32,-1.29,-0.28,0.15,-0.23,-0.61,0.56,0.57
1903,-0.6,1.44,0.17,-0.1,0.12,2.1,-1.27,-0.55,-0.1,-0.78,-1.34,-1.01
1904,-0.65,-1.44,-1.37,-0.81,-0.07,0.71,-0.07,0.33,1.68,0.7,-0.74,0.21
1905,1.14,2.07,1.65,2.19,-0.22,0.52,0.45,-0.95,0.4,-0.43,2.24,0.64
1906,-0.08,0.25,0.23,1.1,-0.37,-0.72,1.19,0.19,0.41,0.37,1.15,0.86
1907,0.65,-1.52,-1.88,0.81,1.16,0.95,-0.03,1.38,-0.62,0.8,0.6,-0.64
1908,-0.12,0.84,-1.36,0.93,0.44,-0.34,0.85,1,-0.75,-0.07,0.63,-0.57
1909,-1.37,-0.23,1.02,-0.36,0.04,-0.39,-0.35,0.44,0.27,-0.42,-0.5,0.53
1910,-0.57,-0.26,-1.89,-0.24,-1.04,-0.43,-0.98,0.15,-1.26,-0.33,-0.44,-0.89
1911,-0.66,1.91,-0.57,0.37,-0.12,0.27,1.74,-0.61,0,1.04,0.15,0.41
1912,-1.02,0.64,0.86,0.85,-0.25,1.2,0.06,0.41,-0.08,0.19,-0.49,0.05
1913,0.24,1.07,0.37,0.72,-1.06,1.45,-0.88,-0.82,0.89,-0.11,0.75,1.32
1914,-1.29,-0.42,-0.34,0.31,1.06,0.79,1.71,0.14,-0.99,1.2,-0.84,1.49
1915,0.86,1.04,1.26,2.04,0.47,-0.29,1.23,-0.03,0.69,-0.89,-0.71,0.31
1916,1.46,-1.36,-0.29,1,-0.38,-1.02,0.18,0.98,-0.4,1.45,-0.43,-0.4
1917,0.48,-0.22,-0.19,0.01,1.2,-0.74,-1,-0.14,-0.01,-1.17,-1.17,-1.87
1918,1.08,-0.39,-0.55,-0.06,-0.31,-0.36,0.01,-0.18,-0.63,0.72,1.15,1.41
1919,-0.62,0.35,1.92,1.31,0.6,0.83,0.92,-0.54,1.11,0.54,0.73,-0.39
1920,0.62,0.14,0.17,0.69,0.46,1.26,-0.53,0.58,-0.32,0.88,-0.35,-0.56
1921,-0.05,-0.25,-0.6,-0.03,0.74,1.71,1.55,0.5,-1.11,-1.16,-1.19,-0.97
1922,0.06,-0.2,0.42,0.91,-0.26,0.03,-1.03,-1.25,-1.11,-0.88,0.92,-1.29
1923,-1.04,1.05,0.81,0.64,-0.73,-0.02,-0.41,1.1,0.65,1.18,1.28,1.55
1924,-0.57,-0.45,1.26,0.56,-0.39,-1.41,0.47,-1.04,-0.89,-0.69,-0.97,0.61
1925,-0.35,-1.27,-1.12,-1.36,-0.35,-0.04,0.68,0.75,0.43,0.64,-0.26,-0.12
