Year, Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec
1895,1.15,0.52,0.11,-1.14,0.1,0.35,0.75,-0.31,-0.24,-0.33,0.67,-0.29
1896,0.09,-1.04,-0.07,0.38,0.71,-1.25,1.18,0.11,0.25,-0.44,0.64,-1.07
1897,0.67,1.64,1.31,-0.43,-1.25,-0.06,0.38,-0.81,0.63,1.27,-0.39,0.45
1898,0.17,-1.04,0.56,-0.93,1.54,-0.02,-0.52,-0.9,-0.87,0,0.29,-0.67
1899,0.09,0.5,0.76,-0.89,0.17,0.38,-0.03,0.79,-1.18,0.96,-0.86,0.15
1900,-1.27,-0.82,-1.9,1.69,-1.12,-1.33,-1.06,-0.3,0.93,-0.04,0.02,-1.65
1901,-0.28,1.17,-0.06,-0.22,-0.34,0.17,-1.23,0.71,-0.49,-0.3,-1.5,-0.03
1902,-0.59,-0.38,0.59,-0.37,-0.54,-0.89,0.41,-0.27,-0.13,-0.96,1.12,-0.04
1903,0.45,0.08,0.42,0.43,0.73,-0.08,0.43,-0.83,0.56,-0.19,-0.66,-1.27
1904,-0.08,0.79,1.33,-0.63,0.63,0.25,0.52,0.61,-0.48,0.04,-1.56,-0.34
1905,-0.13,0.98,0.69,0.33,1.14,-0.2,0.02,-0.41,1.15,-0.2,0.88,-0.7
1906,0.69,-0.29,2.07,1.15,0.93,0.58,0.49,1.36,0.8,-0.65,1.24,0.85
1907,1.39,0.17,0.37,-0.26,1.26,1.5,0.12,1.37,-0.16,0.14,-0.78,0.84
1908,-0.17,0.33,-0.3,-0.97,1.45,1.17,0.49,1.01,1.18,1.52,-0.3,0.05
1909,1.51,1.27,0.24,0.5,0.26,-0.73,0.91,1.62,1.1,-0.9,1.55,1.25
1910,0.49,0.11,-1.61,-1.49,-1.13,-0.77,-0.05,-0.06,0.11,0.39,-0.71,0.3
1911,1.69,0.57,-0.11,-0.17,-0.43,0.65,1.18,-0.67,0.99,0.58,0.05,-0.46
1912,-0.74,-0.54,1.72,0.94,0.11,0.17,1.51,0.58,0.71,1.82,-0.26,-0.96
1913,-0.53,0.64,0.01,-0.52,-0.78,1.09,1.27,0.11,0.71,0.19,1.06,0.51
