Year, Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec
1895,1.16,0.5,0.14,-0.98,0.15,0.86,0.47,-0.25,-0.24,-0.58,0.77,-0.39
1896,0.65,-0.7,0.84,0.12,0.31,-0.74,0.55,0.01,0.88,-0.52,1.48,-1.46
1897,0.38,0.99,1.45,-0.54,-1.61,-0.01,0.62,-0.35,-1.23,0.25,0.41,0.66
1898,0.06,-0.91,0.38,-1.02,1.33,0,0.02,-1.13,-0.42,0.27,0.26,-0.66
1899,1.22,1.21,1.14,-0.81,0.22,0.18,0.14,0.32,-1.01,0.85,-1.1,0.27
1900,-1.48,0.41,-1.25,1.71,-1.54,-1.84,-0.25,-0.69,0.34,-0.59,-0.38,-0.9
1901,-1.13,0.64,0.02,0.21,-0.42,0.52,-1.47,-0.19,-0.09,-0.56,-1.37,1.22
1902,-0.98,-0.07,0.26,-0.15,-0.59,-0.25,0.51,-0.66,0.31,-0.93,-0.23,1.15
1903,0.18,0.34,-0.1,0.04,0.19,-0.26,0.94,-0.07,0.96,-0.73,-0.09,-0.65
1904,-0.09,1.49,0.95,-0.73,0.29,0.31,0.55,0.09,-0.73,-0.46,-1.86,-0.2
1905,0.64,-0.22,0.14,0.69,0.96,0.24,0.92,-0.07,0.03,0.7,-0.42,-1.48
1906,0.08,-0.23,1.77,0.06,0.89,0.18,0.22,1.62,0.25,0.07,0.49,0.65
1907,0.55,0.42,-0.09,-0.42,0.83,0.87,0.65,0.71,0.17,-1.25,-0.86,0.16
1908,-0.72,-0.53,-0.19,-1.22,1.79,1.1,0.15,1.34,-0.29,1.23,-0.51,0.67
1909,1.16,0.76,0.12,0.03,0.55,0.14,0.41,-0.06,0.75,-0.86,0.83,1.36
1910,0.27,-0.26,-2.39,-1.67,-0.18,-1.18,-0.37,-0.35,0.19,-0.16,-0.51,-0.32
1911,1.14,0.07,-1.38,-0.06,-0.6,-0.34,0.15,0.2,-0.16,1.02,0.73,0.1
1912,0.11,0.64,1.09,0.48,0.15,-0.12,1.67,1.63,1.62,1.11,-0.81,-0.78
1913,0.01,0.25,0.18,-1.2,-0.58,0.29,1.32,-0.57,0.62,0.9,-0.59,0.41
1914,-0.1,-0.1,-0.81,0.75,-0.61,0.1,0.01,-0.34,-0.43,0.21,-1.77,-1.02
1915,0.37,0.32,0.15,-0.69,0.96,1.38,1.23,0.59,1.81,-0.89,0.06,0.72
1916,0.89,0.4,-0.28,-0.81,0.23,-0.14,-0.27,0.64,-0.62,1.12,-0.09,0.68
1917,0.3,0.4,0.37,1.04,1.35,-0.31,-1.04,0.13,-0.26,-0.27,-1.42,0.27
1918,1.42,0.37,-0.69,0.97,0,-0.85,1.25,0.31,1.12,-0.42,-0.05,-0.36
1919,-1.79,0.22,-0.57,-0.28,-1.38,-1.66,-0.97,-1.01,0.23,1.75,0.92,0.01
1920,-0.38,0.31,0.39,1.71,0.29,-0.2,-0.3,0.81,-0.07,0.46,-0.17,-0.02
1921,0.69,-1.05,-0.91,0.03,0.11,0.1,-0.1,0.09,-0.31,-1.35,0.23,1.37
1922,0.67,0.46,-0.76,1.09,0.07,-0.75,1,0.15,-1.54,-0.71,1.29,0.68
1923,-0.27,-0.43,0.26,0.48,-0.02,0.54,0.99,1.22,1.59,1.51,-0.85,0.07
1924,-0.52,0.17,0.92,-0.43,-0.35,-0.73,0.16,-0.72,0.33,1,-0.13,1.02
1925,-0.55,-0.44,-0.67,-0.3,-0.57,0.75,0.48,0.66,0.33,1.42,-0.28,0.61
1926,0.41,-0.29,-0.73,-0.9,-0.22,-0.24,0.97,0.92,0.78,-0.51,0.83,-0.05
1927,-0.18,0.49,0.38,0.96,0.51,0.51,0.73,1.45,0.9,-0.34,0.61,0.32
1928,-0.09,-0.42,-0.11,-0.5,-0.73,1.25,1.07,0.05,-0.71,0.56,0.69,-0.82
1929,0.19,0.31,1.3,0.82,0.05,-0.2,-0.47,-0.66,1.41,0.02,0.31,-0.83
1930,0.48,-0.5,-0.12,-1.26,0.31,-0.52,0.06,1.86,0.11,1.09,-0.16,-1.44
1931,-1.45,-0.68,0.32,-0.73,-0.3,-1.25,-0.34,-0.06,-0.46,0.1,0.13,-0.45
1932,0.51,-0.38,0.7,0.44,-0.49,0.27,-0.33,-0.02,-0.94,0.59,-0.91,0
1933,-0.27,-0.32,-0.29,1.11,0.79,-1.88,-1.41,1.12,-0.58,-1.69,-1.08,-0.44
1934,-0.82,0.23,-0.94,-1.08,-2.48,-0.23,-0.68,-0.75,0.53,-1.03,-0.53,-0.06
1935,-1.15,-0.46,0.02,0.82,1.39,-0.65,-1.24,-0.49,-0.71,-0.67,-0.25,-0.7
1936,0.52,1.43,0.15,-0.29,-2.06,-0.54,-0.59,0.19,-0.39,0.06,-0.35,0.05
1937,-0.15,0.31,0.33,0.1,-0.76,0.61,1.57,-1.24,-0.61,-0.34,0.41,0.93
1938,-0.19,-0.74,0.65,0,0.76,-0.33,0.77,-0.04,-0.24,-0.48,0.59,-0.3
1939,-0.06,0.5,-0.61,-1.12,-0.94,0.32,-1.08,-0.2,-0.31,-0.29,-1.75,-1.12
1940,0.9,0.46,-0.42,0.93,-1.48,-0.79,-0.69,-1.09,0.69,-0.51,0.54,-0.49
1941,-0.7,-0.91,-0.03,1.51,-0.82,0.71,0.59,1.42,1.1,0.74,-0.27,0.69
1942,-0.49,-0.14,-0.46,0.46,0.82,0.01,-0.34,-0.49,0.28,0.66,1.34,-0.21
1943,0.67,-0.44,0.56,-1.05,0.29,0.69,-0.65,-0.28,-0.95,-0.07,-0.65,-0.45
1944,0.75,0.14,0.96,0.5,-0.24,1.55,0.43,-0.89,-0.38,-1.05,0.69,0.17
1945,-0.09,0.66,0.66,0.77,0,1.82,0.02,1.17,1.06,-1.01,0.18,0.77
1946,-0.56,-0.76,0.25,-1.69,0.94,-0.11,-0.51,0.23,0.72,1.58,0.4,0.09
1947,-0.02,-0.06,0.03,0.27,-0.12,1.9,-0.51,0.05,-0.1,-0.49,1.17,-0.33
1948,0.29,0.49,-0.06,-0.15,-0.95,0.72,0.07,-0.44,-0.71,-0.58,0.75,0.44
1949,1.68,-0.49,0.05,-1.26,0.26,0.52,-0.25,-0.93,-0.16,1.36,-1.88,0.15
1950,0.51,-1,0.57,0.43,0.48,-0.05,1.09,-0.12,1.25,-1.26,0.34,-0.91
1951,0.13,-0.76,-0.11,0.01,-0.4,0.92,0.8,0.82,0.33,0.71,-0.4,0.57
1952,-0.61,0.43,0.47,-1,0.56,-0.42,0.19,0.37,-1.56,-1.58,-0.33,-0.53
1953,0.54,1.05,-0.81,0.61,0.49,-0.26,-0.96,0.45,-1.36,-1.1,-0.51,-0.39
1954,-0.26,-2.02,1.37,-1.37,-0.72,-0.25,-1.06,-0.1,-0.88,-0.09,-1.5,-0.51
1955,-0.17,1.05,0.12,-0.1,-0.24,0.67,-0.46,-0.49,-0.12,-0.94,0.89,1.2
1956,0.29,-0.64,-0.53,0.12,-0.32,-1.53,0.11,0.32,-1.33,-0.79,0.34,-0.15
1957,-0.33,-0.93,0.06,1.32,1.24,0.91,-0.19,0.27,0.1,0.28,0.6,-0.93
1958,-1.1,-0.14,0.52,0.68,-1.32,0.27,1.2,-0.82,-1.08,-1.38,0.52,0.25
1959,-0.22,0.66,0.17,-0.43,0.41,-0.42,-0.63,-0.53,0.92,0.16,-0.32,-1.4
1960,-0.35,0.55,-0.51,-0.87,-0.89,-0.6,-1.26,0.16,-0.83,-0.39,0.68,-0.38
1961,-1.89,0.14,-0.09,-0.39,-0.26,-1.23,-0.19,-0.67,1.8,0.77,0.07,-0.36
1962,0.75,0.52,-0.2,-1.17,0.71,0.55,0.9,0.07,-0.42,-0.67,-1.01,-1.18
1963,0.51,-0.15,-0.52,1.32,-0.88,0.93,-0.66,-0.14,0.14,-1.73,-0.7,-0.47
1964,-0.12,0.11,0.07,0.9,-0.06,1.38,-1.47,0.22,-0.81,-1.29,0.55,1.24
1965,0.8,-0.44,-0.59,-0.47,0.79,0.97,0.51,0.68,1.75,-1.71,-0.86,-0.3
1966,-1.05,-0.34,-0.73,0.16,-1.53,-0.16,-1.1,0.49,0.18,0.29,-0.34,0.06
1967,0.42,0.21,-0.31,0.2,0.6,2.03,0.14,-0.75,0.06,-0.21,0.16,1.08
1968,-0.47,0.06,-0.59,0.56,0.48,0.82,-0.35,1.93,0,-0.81,0.13,0.5
1969,0.46,-0.12,-0.78,-0.53,-1.6,1.72,-0.13,-1.65,-1.41,1.21,-0.34,-0.42
1970,0.24,-1.31,0.93,1.03,-0.25,0.56,-0.05,-1.6,0.65,0.66,0.7,0.24
1971,0.49,0.53,0.17,1.28,0.81,-0.69,-0.33,-1.11,0.77,1.46,0.02,-0.19
1972,1.09,-0.72,-0.98,0.06,-0.35,0.12,0.24,0.94,0.25,0.66,0.04,0.62
1973,-0.03,-0.93,0.67,1.34,-0.58,-0.52,1.44,-0.53,1.73,-0.79,1.08,0.73
1974,0.28,-0.64,-0.41,0.43,-0.97,-0.88,-0.49,0.53,-0.22,-0.03,-0.01,-0.51
1975,0.84,-0.18,0.69,0.83,1,0.89,-0.21,-0.07,-0.78,0.41,0.21,0.28
1976,0.39,0.35,-0.15,0.56,-0.34,0.7,-0.68,0.5,-0.15,-0.09,-0.78,-1.39
1977,-0.02,-1.19,0.66,-0.8,-0.11,-1.25,0.79,1.22,-0.62,-0.38,0.5,0.43
1978,1,0.81,-0.61,-0.09,1.73,-0.65,0.42,0.76,-0.03,-1.05,0.82,1.36
1979,0.33,-0.41,-0.38,-0.6,-0.12,-0.38,-0.44,1.33,-1.76,-0.37,0.21,-0.81
1980,1.31,0.04,0.66,-0.83,0.73,-0.82,-0.64,0.99,-0.13,0.09,-0.33,-0.62
1981,-1.39,-0.48,-0.26,-1.25,1.34,-0.6,0.67,-0.26,-1.11,0.77,-0.88,0.4
1982,0.23,-0.76,0.41,0.15,0.41,0.84,1.26,-0.26,1.72,0.74,0.24,1.25
1983,-1.09,-0.85,0.85,0.65,0.66,0.54,0.44,0.16,-0.34,0.18,2.1,1.06
1984,-0.37,-0.3,0.1,1.36,-0.61,0.45,0.81,0.17,0.83,0.37,-0.09,-0.26
1985,-0.16,-0.79,-0.03,-1.07,-0.92,-0.16,0.13,-0.27,1.25,0.06,1.49,0.5
1986,-0.7,1.64,-1.41,0.76,-0.11,-0.32,0.73,-0.25,1.38,0.82,0.83,-1.34
1987,-0.19,0.81,0.62,-2,0.2,-0.54,1.1,1.15,-0.71,-0.87,0.33,0.52
1988,-0.4,-0.32,0.2,-0.71,-0.45,-1.8,-1.45,-0.92,0.07,-1.58,0.49,-0.43
1989,-0.85,0.62,0.26,-0.74,-0.19,0.12,-0.75,0.15,0.66,-0.05,-0.43,0.25
1990,-0.49,-0.29,0.45,0.09,-0.02,-0.57,0.82,0.03,-0.81,0.16,0.24,-0.09
1991,-0.67,-1.06,-0.06,0.9,1.08,0.37,-0.12,-0.33,0.13,0.05,1.31,-1.25
1992,-0.87,-1.53,-0.32,-1.15,-0.62,0.57,1.83,0.14,-0.42,-0.9,0.7,0.92
1993,0.31,0.7,0.14,0.59,0.1,1.58,1.67,0.97,0.14,0.71,0.44,-0.45
1994,0.03,0.59,-0.86,-0.31,-1.54,-1.04,-0.21,-0.86,-0.85,1.68,0.8,-0.54
1995,0.36,0.2,0.27,0.7,1.75,1.13,0.62,-0.95,0.56,0.67,0.36,-0.54
1996,1.25,-0.28,0.71,0,0.93,-0.98,-0.61,-0.58,0.39,0.51,0.72,1.21
1997,1.12,0.14,-0.77,1.01,-0.07,0.17,1.18,1.09,0.43,0.31,-0.41,0.25
1998,0.46,0.37,1.36,-0.19,-0.76,1.64,0.32,0.33,-0.56,1.37,0.15,-0.26
1999,0.45,-0.39,-1.23,1.71,0.31,0.47,-0.54,-0.01,0.84,-1.2,-1.63,-0.52
2000,0.53,0.76,-0.37,-0.24,-0.22,-0.56,-1.2,-1.45,0.41,-0.29,0.58,-0.11
2001,-0.99,0.45,-0.78,0,-1.21,-0.68,-0.25,-1.4,-0.83,-0.16,-0.14,-0.9
2002,-0.67,-0.97,0.72,-0.34,-0.59,-1.4,-1,0.39,0.14,0.82,-0.14,-1.25
2003,-0.53,1.02,1.46,-0.74,-0.39,0.63,-2.07,-0.98,0.32,-1.27,0.52,0.61
2004,-1.09,0.71,-1.67,-0.56,-0.62,0.12,0.7,0.7,0.56,0.59,0,-1
2005,0.27,-0.88,-0.24,0.3,0.83,0.3,-1.13,0.49,-0.55,0.23,-0.25,-0.01
2006,-0.69,-0.06,0.15,-1.01,-1.01,-1.57,-1.63,-0.06,0.73,0.48,-0.35,0.07
2007,-0.2,-0.06,-0.24,-0.36,-0.49,-0.89,-0.8,-0.05,-0.31,0.71,-1.09,1.06
2008,0.04,-0.01,0.07,-0.25,1.32,-0.07,-1.06,-0.53,0.59,0.18,-0.82,0.32
2009,1.01,-0.91,0.78,1.02,-0.92,1.36,0.64,0.67,-1.23,1.61,-1.29,0.15
