Impact ID,Title,Post Date,Start Date,End Date,Description,Categories,Places,
51657,Fire season extended in Utah,11/05/2020,11/01/2020,11/30/2020,"The Utah Department of Natural Resources extended the state's fire season to Nov. 30, continuing the ban on open burning on unincorporated state and private land.  Lack of precipitation, warmer than usual weather and dry fuel conditions throughout Utah were reasons for the extended fire season.  St. George News (Utah), Oct. 25, 2020","Fire, Relief, Response & Restrictions","Utah, Beaver County, UT, Box Elder County, UT, Cache County, UT, Carbon County, UT, Daggett County, UT, Davis County, UT, Duchesne County, UT, Emery County, UT, Garfield County, UT, Grand County, UT, Iron County, UT, Juab County, UT, Kane County, UT, Millard County, UT, Morgan County, UT, Piute County, UT, Rich County, UT, Salt Lake County, UT, San Juan County, UT, Sanpete County, UT, Sevier County, UT, Summit County, UT, Tooele County, UT, Uintah County, UT, Utah County, UT, Wasatch County, UT, Washington County, UT, Wayne County, UT, Weber County, UT",
51085,Busy wildfire season in Utah,06/22/2020,06/19/2020, ,"Utah’s fire season has been busy and started early, with firefighters responding to hundreds of wildfires statewide by mid-June after that state experienced its third driest spring on record.  The fire season typically begins at the start of June and extends through October.  Daily Herald (Provo, Utah), June 19, 2020",Fire,"Utah, Utah County, UT",
51021,Increased fire activity in Utah,05/28/2020,01/01/2020,05/26/2020,"Fire activity in Utah has been higher than the previous year, prompting officials to urge Utahns to use public lands responsibly.  Since the start of the year through May 26, there were 237 wildfires, compared to just 67 fires in 2019.  The dryness in April and May led fire officials to anticipate a more active fire season. KSL-TV NBC 5 (Salt Lake City, Utah), May 27, 2020",Fire,Utah,
47932,Drought emergency in Utah,10/17/2018,10/15/2018,09/30/2019,"Gov. Gary Herbert rescinded an executive order issued one year ago due to drought.  The drought emergency was issued in October 2018 when 99 percent of the state was in moderate drought and 88 percent was in severe drought.KMYU (Salt Lake City, Utah), Sept. 30, 2019Gov. Gary Herbert declared a drought emergency for the entire state of Utah as drought was at or nearing historic levels.  Drought was most intense in San Juan County in the southeast corner of the state, and six counties declared drought disasters.  “Such difficult conditions are harming the quality of life and the livelihoods of many Utah families and agricultural producers,” Herbert said. “The ramifications of drought extend beyond our depleted water supply. Drought harms our industries, agriculture, recreation and wildlife, and it worsens wildfire conditions and air quality.”Some farmers were not able to harvest alfalfa, while some ranchers had to sell livestock at a loss, according to Agriculture and Food Commissioner LuAnn Adams.State officials were imploring residents to conserve water by cutting shower times and only running appliances with full loads, as 16 of the state’s major reservoirs held less than 20 percent of their capacity.The water year ending Sept. 30 was the Beehive State’s driest since 1895 when record keeping began, according to the National Oceanic and Atmospheric Administration.  It was also the state’s second warmest year on record, increasing evaporation and depleting water supplies.  Salt Lake Tribune (Utah), Oct. 15, 2018","Agriculture, Relief, Response & Restrictions, Water Supply & Quality","Utah, Beaver County, UT, Box Elder County, UT, Cache County, UT, Carbon County, UT, Daggett County, UT, Davis County, UT, Duchesne County, UT, Emery County, UT, Garfield County, UT, Grand County, UT, Iron County, UT, Juab County, UT, Kane County, UT, Millard County, UT, Morgan County, UT, Piute County, UT, Rich County, UT, Salt Lake County, UT, San Juan County, UT, Sanpete County, UT, Sevier County, UT, Summit County, UT, Tooele County, UT, Uintah County, UT, Utah County, UT, Wasatch County, UT, Washington County, UT, Wayne County, UT, Weber County, UT",
47920,Utahns asked to end lawn watering for the year,10/11/2018,10/08/2018, ,"The Utah Division of Water Resources urged Utahns to stop lawn watering for the remainder of the year to conserve water.  At present, 16 of Utah’s reservoirs were below 20 percent of capacity, and eight of those held less than 5 percent.KUSU-FM Utah Public Radio (Logan, Utah), Oct. 8, 2018","Relief, Response & Restrictions, Water Supply & Quality","Utah, Beaver County, UT, Box Elder County, UT, Cache County, UT, Carbon County, UT, Daggett County, UT, Davis County, UT, Duchesne County, UT, Emery County, UT, Garfield County, UT, Grand County, UT, Iron County, UT, Juab County, UT, Kane County, UT, Millard County, UT, Morgan County, UT, Piute County, UT, Rich County, UT, Salt Lake County, UT, San Juan County, UT, Sanpete County, UT, Sevier County, UT, Summit County, UT, Tooele County, UT, Uintah County, UT, Utah County, UT, Wasatch County, UT, Washington County, UT, Wayne County, UT, Weber County, UT",
47854,More big-game tags for Utah hunters in 2018,09/13/2018,09/11/2018, ,"The Utah Wildlife Board increased big-game tags in 2018 to reduce the number of hungry deer and elk anticipated to raid crops, given the degraded state of the animals' habitat, according to Mike Fowlks, director of the Division of Wildlife Resources.Salt Lake Tribune (Utah), Sept. 11, 2018","Plants & Wildlife, Tourism & Recreation","Utah, Box Elder County, UT, Carbon County, UT, Emery County, UT, Grand County, UT, San Juan County, UT, Wayne County, UT",
47855,Lows flows in Utah streams force repositioning of  gauges,09/13/2018,09/11/2018, ,"Twelve stream gauges out of 154 in Utah registered new lows as drought dried up waterways in Utah.  “This year, we’ve had many instances where we had to adjust the equipment in the streams because the flows are so low that our equipment is above the water level,” said hydrologist Cory Angeroth of the agency’s Utah Water Science Center.Salt Lake Tribune (Utah), Sept. 11, 2018",Water Supply & Quality,Utah,
47852,Emergency action in the works to help Utah farmers,09/13/2018,09/10/2018, ,"Utah’s Drought Review and Reporting Committee met and discussed the emergency disaster area, which included San Juan, Wayne, Carbon, Grand and Emery counties in the southeast and Box Elder County in the northwest.  Drought has affected tourism, wildlife, agriculture and the economy.The Department of Natural Resources were taking emergency action and were aiming to get emergency protocol into place to help farmers who were unable to irrigate certain crops for lack of rain.  Statewide, reservoirs were 57 percent full on average.  Six counties had declared states of emergency, due to drought.  The six counties were Box Elder, San Juan, Grand, Carbon, Emery and Wayne.  Abc4 (Salt Lake City, Utah), Sept. 12, 2018","Agriculture, Plants & Wildlife, Relief, Response & Restrictions, Water Supply & Quality","Utah, Box Elder County, UT, Carbon County, UT, Emery County, UT, Grand County, UT, San Juan County, UT, Wayne County, UT",
46760,Utah ranchers moving livestock off range,08/30/2018,08/27/2018, ,"Despite spotty rainfall over the summer, many Utah ranchers were moving their livestock off the range earlier than normal because the forage was poor.  Wildlife and wild horses on the western range in Utah were struggling to find enough forage.  Gunnison Reservoir in Sanpete County was completely dry, having dried up months ago.KUER-FM 90.1 (Salt Lake City, Utah), Aug. 27, 2018","Agriculture, Plants & Wildlife, Water Supply & Quality","Utah, San Juan County, UT, Sanpete County, UT",
45111,"Open fires, fireworks banned on state-owned lands in Utah",06/29/2018,06/28/2018, ,"Gov. Gary Herbert announced a ban on open fires and fireworks on state-owned lands in Utah.  He also urged caution with campfires and fireworks, given the hot, dry conditions.  KUER-FM 90.1 (Salt Lake City, Utah), June 28, 2018","Fire, Relief, Response & Restrictions","Utah, Beaver County, UT, Box Elder County, UT, Cache County, UT, Carbon County, UT, Daggett County, UT, Davis County, UT, Duchesne County, UT, Emery County, UT, Garfield County, UT, Grand County, UT, Iron County, UT, Juab County, UT, Kane County, UT, Millard County, UT, Morgan County, UT, Piute County, UT, Rich County, UT, Salt Lake County, UT, San Juan County, UT, Sanpete County, UT, Sevier County, UT, Summit County, UT, Tooele County, UT, Uintah County, UT, Utah County, UT, Wasatch County, UT, Washington County, UT, Wayne County, UT, Weber County, UT",
45040,Use of fireworks limited in Utah,06/22/2018,06/22/2018, ,"Utah city and fire officials were encouraging the public to be particularly careful with fireworks and to observe new fireworks restrictions, given the heat, dry conditions and wind.  ""We are expecting things to burn.  If people aren't being very careful, we're going to burn things to the ground. It could be a very scary situation,"" warned Eric Holmes, Unified Fire Authority public information officer.Utah lawmakers passed a new bill during the winter, allowing class C fireworks to be discharged only on July 2-5 and July 22-25.  Fireworks can only be sold from June 24 through July 25.The city of Parowan opted to ban all fireworks inside city limits, effective through July 23, including the city fireworks display.  West Jordan strengthened its fireworks policies to ban fireworks in at-risk areas, encompassing all areas west of state Route 111 and all areas within 200 feet of Bingham Creek.  The Provo Fire Chief James Miguel urged the public to be “extraordinarily safe” with fireworks this summer since the city has already had a few fires in Provo Canyon.  KSL-TV NBC 5 (Salt Lake City, Utah), June 22, 2018","Fire, Relief, Response & Restrictions","Utah, Beaver County, UT, Box Elder County, UT, Cache County, UT, Carbon County, UT, Daggett County, UT, Davis County, UT, Duchesne County, UT, Emery County, UT, Garfield County, UT, Grand County, UT, Iron County, UT, Parowan, UT, Juab County, UT, Kane County, UT, Millard County, UT, Morgan County, UT, Piute County, UT, Rich County, UT, Salt Lake County, UT, West Jordan, UT, San Juan County, UT, Sanpete County, UT, Sevier County, UT, Summit County, UT, Tooele County, UT, Uintah County, UT, Utah County, UT, Provo, UT, Wasatch County, UT, Washington County, UT, Wayne County, UT, Weber County, UT",
44399,Utahns of faith asked to pray for snow,03/08/2018,02/22/2018, ,"Gov. Gary Herbert of Utah asked faith leaders and their congregations in a letter posted on social media to pray for snow because the winter was dry, leaving the state with “dangerously low” snowpacks. St. George News (Utah), March 5, 2018","Relief, Response & Restrictions, Society & Public Health, Water Supply & Quality","Utah, Beaver County, UT, Box Elder County, UT, Cache County, UT, Carbon County, UT, Daggett County, UT, Davis County, UT, Duchesne County, UT, Emery County, UT, Garfield County, UT, Grand County, UT, Iron County, UT, Juab County, UT, Kane County, UT, Millard County, UT, Morgan County, UT, Piute County, UT, Rich County, UT, Salt Lake County, UT, San Juan County, UT, Sanpete County, UT, Sevier County, UT, Summit County, UT, Tooele County, UT, Uintah County, UT, Utah County, UT, Wasatch County, UT, Washington County, UT, Wayne County, UT, Weber County, UT",
