Impact ID,Title,Post Date,Start Date,End Date,Description,Categories,Places
51644,Drought increased number of cattle in U.S. feedlots,10/28/20,10/1/20, ,"September cattle placements into feedlots increased 5.9 percent from one year ago, bringing the number of cattle on feed to 11.717 million head, as of Oct. 1, for the highest count since 1996, according to the U.S. Department of Agriculture.  More cattle were on feed as drought reduced the amount of available pasture.Bloomberg (New York), Oct 23, 2020","Agriculture, Plants & Wildlife",IMW
51445,Opposition to Utah's plan to draw from Colorado River,9/10/20,9/9/20, ,"Utah’s plan to divert 86,000 acre-feet of water from the Colorado River to Washington County in southwest Utah drew strong opposition from water officials from Arizona, California, Colorado, Nevada, New Mexico and Wyoming.  Utah is entitled to the water under century-old agreements between the states, but there is concern that such a diversion would lower the level of Lake Powell, potentially resulting in cuts to cities such as Phoenix and Las Vegas.Las Vegas Sun (Nev.), Sept. 9, 2020","Relief, Response & Restrictions, Water Supply & Quality",IMW
51626,Hay prices rising in U.S.,10/23/20,8/31/20,10/21/20,"Cattle feed in the U.S. was becoming pricier with hay prices rising six percent compared to one year ago to $137 per ton in August, while alfalfa dropped four percent to $172 per ton, per USDA estimates.  Non-alfalfa hay crops were adversely affected by drought as alfalfa is typically irrigated and managed differently than other hay crops.Oklahoma Farm Report (Oklahoma City), Oct 21, 2020","Agriculture, Plants & Wildlife",IMW
51184,"Pasture, rangeland conditions in U.S. deteriorating",7/22/20,7/21/20, ,"Pasture and rangeland conditions suffered in much of the West and Southwest, due to drought.  Critical cattle-producing states were experiencing a dramatic increase in pasture and rangeland rated poor to very poor, while the portion of pasture and rangeland rated good to excellent decreased in much of the rest of the country.  Dry, hot weather decreased the percentage of acres categorized as good to excellent by 36 percent nationally.Montrose Daily Press (Colo.), July 21, 2020","Agriculture, Plants & Wildlife",IMW
51090,Bureau of Reclamation asking public to help prevent wildland fires,6/23/20,6/23/20, ,"The Bureau of Land Management asked the public to help prevent wildland fires amid a hot, dry summer with increasing wildfire activity in the West.  Roughly 87 percent of wildfires are caused by people. Klamath Falls Herald and News (Ore.), June 23, 2020","Fire, Relief, Response & Restrictions",IMW
49682,New Mexico Congressional delegation introduce legislation to deal with drought,11/1/19,10/31/19, ,"New Mexico’s Congressional delegation were moving to fight water scarcity in their state and the West by introducing legislation to support water infrastructure and conservation. Udall, Sen. Martin Heinrich (D-NM) and New Mexico’s Democrat U.S. Reps. Xochitl Torres Small, Deb Haaland and Ben Ray Lujan introduced the Western Water Security Act of 2019, which aims to strengthen New Mexico’s water infrastructure and emphasize the importance of conservation and the restoration of water supplies in the West. Carlsbad Current-Argus (N.M.), Oct. 31, 2019","Relief, Response & Restrictions, Water Supply & Quality",IMW
48343,"Arizona, Nevada face cuts in water supply",8/19/19,8/15/19, ,"The U.S. Bureau of Reclamation announced that Arizona and Nevada will face cuts in allocations from Lake Mead in 2020 because the reservoir is anticipated to fall below 1,090 feet above sea level on Jan. 1.  Arizona, a junior water use, will receive about 7 percent or 192,000 acre-feet less, while Nevada gets 3 percent less, amounting to 9,000 acre-feet going unused. Santa Fe New Mexican (N.M.), Aug. 16, 2019","Relief, Response & Restrictions, Water Supply & Quality",IMW
47923,Agreement on Colorado River Drought Contingency Plan,4/17/19,10/9/18,4/16/19,"Representatives of the seven Colorado River Basin states met at Hoover Dam for a formal signing ceremony.  The region has endured nearly two decades of drought and diminishing reservoirs, but with the plan, hope to avoid Lakes Mead and Powell from becoming depleted.  The Denver Post, May 20, 2019President Trump signed the Colorado River Drought Contingency plan into law on April 16, 2019.Las Vegas Sun (Nev.), April 16, 2019The Colorado River Drought Contingency Plan to manage the river was finished, according to U.S. Bureau of Reclamation Commissioner Brenda Burman.  Federal legislation was all that was needed to implement the plan. The Associated Press, March 19, 2019The U.S. Bureau of Reclamation asserted that Arizona and California missed the deadline, meaning the Bureau will step in to manage water supplies.  If the two states can complete their agreements by March 4, the Bureau will not intervene.  In the meantime, the Bureau was asking governors of the seven states in the Colorado River basin for recommendations on cutting water use and preserving water storage in reservoirs.  Santa Fe New Mexican (N.M.), Feb. 1, 2019Seven Southwestern states reached agreements on management of the Colorado River Basin as the region endured drought.  California also agreed to water cuts earlier than legally required.  The Upper Basin states will try to keep the level of Lake Powell at or above 3,525 feet above sea level, and the Lower Basin states will attempt to conserve more water.  If Lake Mead falls below a certain level, Arizona will curb its water use by up to 9 percent, California by as much as 8 percent and Nevada by 3 percent.  The U.S. Bureau of Reclamation foresees the chances of a shortfall in Lake Mead at 57 percent by 2020.Casper Star-Tribune (Wyo.), Oct. 11, 2018","Relief, Response & Restrictions, Water Supply & Quality",IMW
46713,Possible shortage in the Colorado River Basin in 2020,8/21/18,8/20/18, ,"Lower than expected flows in the Colorado River over the summer boosted the odds of a water shortage in 2020.  The U.S. Bureau of Reclamation put the chances of a shortage in Lake Mead at 57 percent, an increase from the 52 percent chance projected in May.  If Lake Mead falls below 1,075 feet above sea level, some water deliveries to Arizona, Nevada and Mexico would be reduced.Las Vegas Sun (Nev.), Aug. 27, 2018A forecast from the Bureau of Reclamation indicated that there could be a shortage declaration that could prompt reduced water releases from federal reservoirs for the lower basin states of Nevada and Arizona in 2020.Pueblo Chieftain (Colo.), Aug. 20, 2018","Relief, Response & Restrictions, Water Supply & Quality",IMW
44964,Arizona briefing on Colorado River water supply,6/18/18,6/17/18, ,"Arizona Department of Water Resources and the Central Arizona Project  held a briefing on the Lower Basin Drought Contingency Plan and Arizona’s Colorado River Water Supply.  The briefing on June 28 kicked off an Arizona dialogue and process on a Colorado River Drought Contingency Plan to address the reliability of the Colorado River system and the risks to Arizona’s share of the river.Mohave Valley Daily News (Ariz.), June 17, 2018","Relief, Response & Restrictions, Water Supply & Quality",IMW
44623,Conflict over water use in the Colorado River Basin,4/19/18,4/18/18, ,"Four states feel that Arizona’s largest water provider is manipulating supply and demand to prevent a reduction in its portion of the Colorado River.  Colorado, New Mexico, Utah, Wyoming and Denver’s water utility resented cutting back on water use while it seemed that the Central Arizona Project was not doing its fair share of conservation and was taking advantage of the situation, which the CAP denied.Santa Fe New Mexican (N.M.), April 18, 2018","Relief, Response & Restrictions, Water Supply & Quality",IMW
44323,More cattle headed to U.S. feedlots,3/1/18,1/1/18,1/31/18,"Ranchers moved 4.4 percent more cattle into U.S. feedlots in January 2018 than the previous January, according to the U.S. Department of Agriculture, exceeding analysts’ expectations.  The increased placement was partially attributed to severe drought in Texas and Oklahoma, as well as ongoing dryness in the Northern Plains that made winter wheat grazing less productive for cattle.Reuters (New York), Feb. 23, 2018",Agriculture,IMW
44448,Drought slowed U.S. beef herd expansion,3/16/18,1/1/18, ,"The total number of beef cows in the U.S. on Jan. 1 was 31.7 million, the highest count since 2008, while breeding cattle inventories were slowing their rate of expansion.  Drought in the central and southern Plains could shrink the herd with reductions beginning soon.  AgWeb.com (Mexico, Mo.), March 15, 2018","Agriculture, Plants & Wildlife",IMW
41253,Dead trees a challenge for firefighters in the West,9/12/17,9/10/17, ,"Eleven Western states harbor about 6.3 billion dead trees that pose a danger for firefighters battling the dozens of blazes burning in the West.  Bark beetles, drought, disease and fire have killed many of the trees.  Klamath Falls Herald and News (Ore.), Sept. 10, 2017","Fire, Plants & Wildlife",IMW
40842,Ground beef prices lower in U.S.,7/7/17,7/3/17, ,"Ground beef prices have fallen to a three-year low with a pound of hamburger averaging $3.56, down 68 cents from the 2015 high of $4.24.  Herd recovery after drought in 2011 and 2012 has finally brought prices down.  The Washington Post (D.C.), July 3, 2017","Agriculture, Society & Public Health",IMW
