Report ID,Title,Publish Date,Start Date,End Date,Summary,URL,Source Name,Source Description,Source City,Source State,Categories,Places,
33141,"Citing drought, Wyoming governor seeks disaster declaration - Reuters (NY)",06/22/2012,06/22/2012, ,,http://www.reuters.com/article/2012/06/23/us-usa-drought-wyoming-idUSBRE85M01S20120623,,,New York,NY,"Agriculture, Plants & Wildlife, Relief, Response & Restrictions",Wyoming,
25977,Fire restrictions take effect as Wyoming dries out - Billings Gazette (MT),07/01/2013,01/01/2012, ,,http://billingsgazette.com/wildfire/image_def415b4-972b-5d2d-a2a2-e2a1379ed8b1.html,,not listed,Billings,MT,"Fire, Relief, Response & Restrictions",Wyoming,
1625,Decent snow in mountains bodes well,02/14/2009,02/14/2009, ,,http://www.billingsgazette.net/articles/2009/02/13/news/wyoming/24-weathersnow.txt,,not listed,Billings,MT,General Awareness,Wyoming,
1648,Snowpack helps Wyo keep pulling out of drought,02/14/2009,02/14/2009, ,,http://www.trib.com/articles/2009/02/13/news/wyoming/29c821d2b9ad6ac18725755b0003965a.txt,,updated 20200324,Casper,WY,General Awareness,Wyoming,
1610,Drought Recovery,02/13/2009,02/13/2009, ,,http://www.hdnews.net/wirestories/l0701-BC-NE-NebraskaNewsDiges-02-13-0954,,good,Hays,KS,General Awareness,Wyoming,
1613,Snowpack helps Wyo keep pulling out of drought,02/13/2009,02/13/2009, ,,http://www.trib.com/articles/2009/02/12/news/wyoming/29c821d2b9ad6ac18725755b0003965a.txt,,updated 20200324,Casper,WY,General Awareness,Wyoming,
1575,Snowpack helps Wyo keep pulling out of drought,02/12/2009,02/12/2009, ,,http://www.trib.com/articles/2009/02/11/news/wyoming/29c821d2b9ad6ac18725755b0003965a.txt,,updated 20200324,Casper,WY,General Awareness,Wyoming,
1607,Decent Wyo. snow bodes well for drought recovery,02/12/2009,02/12/2009, ,,http://www.kotatv.com/Global/story.asp?S=9834662&nav=menu411_2_5,,good,Rapid City,SD,General Awareness,Wyoming,
1008,Snowy weather improves Wyoming's water outlook,01/01/2009,01/01/2009, ,,http://www.usatoday.com/weather/drought/2009-01-01-wyoming-drought_N.htm,,Internet,McLean,VA,General Awareness,Wyoming,
7964,Fishing on high,05/27/2010,05/27/2007, ,,http://trib.com/lifestyles/recreation/article_9594a03e-9092-5443-ae74-7f69771fb125.html,,updated 20200324,Casper,WY,"Agriculture, General Awareness, Water Supply & Quality",Wyoming,
