Year,1/1/2016,2/1/2016,3/1/2016,4/1/2016,5/1/2016,6/1/2016,7/1/2016,8/1/2016,9/1/2016,10/1/2016,11/1/2016,12/1/2016
1895,2.89,0.91,0.41,0.09,0.53,0.11,1.52,2.2,1.05,0.99,1.91,0.54
1896,0.76,0.26,0.73,0.37,0.09,0.16,2.56,1.61,1.42,2.7,0.6,0.6
1897,2.52,1.15,1.1,0.36,0.4,0.1,1.43,1.64,2.38,1.24,0.14,0.71
1898,1.89,0.2,0.72,0.55,0.51,0.61,2.09,2.19,0.33,0.05,0.54,1.42
1899,0.92,0.61,0.52,0.22,0.04,0.73,2.28,1.08,0.74,0.92,0.58,0.31
1900,0.23,0.34,0.56,1.82,0.19,0.08,0.57,0.9,1.67,0.56,1.32,0.03
1901,1.27,2.15,0.64,0.29,0.55,0.06,1.66,1.95,0.36,0.96,0.35,0.25
1902,0.88,0.52,0.8,0.14,0.4,0.06,0.56,1.79,1,0.13,1.82,1.45
1903,0.33,1.12,1.29,0.45,0.35,0.7,1.08,1.53,1.6,0.15,0,0.1
1904,0.28,0.61,0.67,0.09,0.5,0.11,1.82,3.2,0.72,0.64,0.01,0.83
1905,2.56,4.56,3.64,2.43,0.37,0.36,1.07,1.52,2.17,0.21,4.29,1.01
1906,0.77,1.16,2.28,0.97,0.16,0,1.9,3.1,0.72,0.16,1.55,3.26
1907,2.39,0.83,1.13,0.72,0.87,0.23,1.96,3.01,0.77,2.53,0.76,0.32
1908,0.9,2.32,0.83,0.67,0.5,0.05,2.76,2.54,0.96,0.69,0.45,2.54
1909,1.11,1.46,1.35,0.23,0.03,0.11,2.15,4.06,1.28,0.01,0.85,1.47
1910,1.36,0.18,0.71,0.37,0.03,0.38,1.87,1.9,0.57,0.52,1.49,0.54
1911,2.04,1.72,1.16,0.38,0.01,0.57,3.4,1.44,2.3,1.98,0.05,0.63
1912,0.03,0.26,3.08,0.97,0.23,0.49,2.78,1.96,0.22,1.98,0.08,0.56
1913,0.63,2.59,0.39,0.39,0.03,0.1,1.72,1.66,1.04,0.4,1.88,1.02
1914,1.3,1.14,0.57,0.39,0.44,0.7,3.15,1.78,0.71,2.13,0.67,3.16
1915,2.29,1.88,0.82,1.68,0.54,0.35,2.47,1.18,0.73,0.09,0.86,2.29
1916,4.59,0.56,1.38,0.45,0.22,0,2.43,2.3,1.35,2.1,0,0.77
1917,2.3,0.92,0.17,1.63,0.95,0.02,2.8,1.23,1.08,0.03,0.04,0
1918,1.73,1.1,1.76,0.19,0.09,0.86,1.81,2.06,0.58,0.74,1.35,1.8
1919,0.4,1.61,0.99,0.63,0.62,0.18,4.36,1.81,2.2,1.01,2.76,0.72
1920,1.95,2.51,1.54,0.32,0.46,0.59,0.95,1.96,0.87,1.49,0.25,0.29
1921,0.87,0.43,0.54,0.33,0.46,0.35,3.6,3.51,0.57,1.07,0.34,1.81
1922,1.89,0.72,1.34,0.63,0.36,0.49,1.48,2.2,0.87,0.37,1.33,0.68
1923,0.73,0.88,1.04,0.59,0.2,0.01,2.36,2.92,1.69,0.51,2,2.66
1924,0.11,0.08,1.75,0.74,0.1,0.06,1.74,0.66,0.88,0.54,0.2,1.78
1925,0.17,0.3,0.93,0.84,0.17,0.99,1.75,2.2,1.9,1.99,0.64,0.54
1926,0.55,0.68,1.79,2.84,0.67,0.15,1.6,1.04,2.17,0.55,0.33,2.7
1927,0.33,2.61,1.24,0.59,0.08,1.35,1.69,2.6,2.64,0.76,0.37,1.61
1928,0.18,1.6,0.37,0.26,0.69,0.02,1.35,1.89,0.35,1.29,0.69,0.76
1929,0.9,0.83,0.43,0.7,0.25,0.03,2.78,2.62,1.97,0.45,0.12,0.07
1930,1.95,0.47,1.78,0.5,0.86,0.35,2.74,2.14,0.99,0.38,1.64,0.17
1931,0.49,3.32,0.33,1.26,0.36,0.6,1.98,3.29,1.44,0.75,2.55,1.64
1932,0.83,2.78,0.34,0.52,0.27,0.34,2.36,1.83,0.65,1.09,0,1.95
1933,1.75,0.55,0.06,0.79,0.26,0.42,1.93,1.39,1.46,1.28,0.92,0.34
1934,0.34,0.87,0.23,0.67,0.65,0.19,1.1,2.91,0.57,0.13,0.86,1.51
1935,1.81,2.04,1.38,0.57,0.63,0.05,1.24,3.27,1.44,0.06,0.98,0.81
1936,0.65,1.85,0.91,0.15,0.18,0.2,2.21,2.29,1.42,1.02,0.74,1.99
1937,1.68,1.57,1.78,0.12,0.39,0.45,1.68,1.54,1.64,0.41,0.08,1.08
1938,0.67,1.61,2.1,0.27,0.29,0.86,1.35,1.92,0.89,0.17,0.12,1.84
1939,1.18,1.07,0.7,0.59,0.06,0.01,1.04,2.03,3.8,0.47,1.09,0.37
1940,0.84,1.81,0.25,0.79,0.33,0.73,0.86,2,2.84,1.48,1.13,3.4
1941,1.77,2.07,2.86,2.49,0.79,0.29,1.68,2.15,1.99,1.72,0.97,1.91
1942,0.55,0.97,0.52,1.17,0.01,0,1.26,1.69,0.75,0.98,0.15,1.08
1943,1.67,0.53,1.33,0.38,0.12,0.31,0.88,2.71,1.51,0.8,0.08,1.44
1944,0.82,2.27,1.07,0.82,0.51,0.06,1.04,1.34,1.32,0.62,1.64,1.03
1945,1.14,0.55,1.96,0.24,0.03,0.06,1.89,2.36,0.22,1.15,0.04,1.2
1946,1.03,0.24,0.54,0.67,0.14,0.03,2.11,2.69,2.37,0.97,1.46,0.98
1947,0.32,0.27,0.11,0.08,0.69,0.16,0.85,3.1,0.61,1.2,0.82,1.24
1948,0.15,1.41,0.88,0.13,0.04,0.36,1.35,1.86,0.7,1.13,0.08,1.69
1949,3.08,0.61,0.57,0.44,0.33,0.91,1.83,1.17,1.58,1.1,0.31,1.25
1950,0.61,0.92,0.5,0.03,0.09,0.3,2.74,0.81,0.82,0.03,0.15,0
1951,1.36,0.5,0.46,1.39,0.5,0,1.34,4.36,0.51,1.21,1.03,1.72
1952,1.85,0.34,2.33,1.78,0.09,0.67,1.66,1.86,1.21,0,1.93,1.04
1953,0.32,0.44,1.04,0.5,0.11,0.14,2.84,1.72,0,0.27,0.41,0.28
1954,1.3,0.58,2.46,0.02,0.49,0.51,2.5,1.93,1.51,0.41,0.11,0.36
1955,1.97,0.5,0.1,0.16,0.17,1.05,2.79,3.67,0.07,0.26,0.48,0.57
1956,1.01,0.64,0.03,0.39,0.15,0.25,1.84,1.06,0.04,0.57,0.02,0.18
1957,3.09,0.64,0.88,0.52,0.97,0.5,1.81,2.68,0.07,2.38,1.29,0.5
1958,0.24,1.78,2.41,0.99,0.4,0.36,1.25,2.29,2.7,0.97,0.71,0.02
1959,0.26,1.4,0.01,0.42,0.12,0.35,1.77,3.21,0.25,2.01,0.78,2.62
1960,1.69,0.67,0.61,0.26,0.27,0.18,0.92,1.39,1.07,1.9,0.5,0.59
1961,0.73,0.12,1.28,0.2,0.07,0.19,1.61,2.89,1.26,0.88,0.76,1.77
1962,1.48,1.36,0.79,0.04,0.13,0.32,1.12,0.64,1.9,0.86,0.62,1.03
1963,0.65,1.2,0.65,0.47,0,0.03,0.8,4.08,1.55,1.07,1.29,0.15
1964,0.36,0.1,1.1,0.73,0.18,0.17,2.08,2.69,1.77,0.32,0.78,0.95
1965,1.57,1.31,1.19,1.96,0.63,0.4,2.05,1.36,1.42,0.38,1.88,4.75
1966,0.69,1.29,0.32,0.15,0.1,0.29,1.89,2.04,1.77,0.6,0.78,1.61
1967,0.44,0.07,0.56,0.49,0.37,0.68,2.63,2.3,1.84,0.27,0.93,4.03
1968,0.55,1,1.15,0.56,0.17,0.23,2.16,2.15,0.16,0.65,0.88,1.1
1969,1.89,1.39,0.89,0.14,0.74,0.13,1.95,2.14,1.25,0.9,1.18,0.56
1970,0.23,0.4,2.3,0.51,0.03,0.19,1.7,2.33,2.01,0.46,0.39,0.81
1971,0.17,0.73,0.08,0.34,0.35,0.02,1.13,3.76,1.39,2.14,0.41,1.63
1972,0.01,0,0,0.11,0.17,1.42,1.17,1.75,1.03,5.34,1.39,1.44
1973,0.71,2.03,3.17,0.31,0.7,0.61,1.39,1.12,0.12,0.05,0.89,0.06
1974,1.84,0.14,0.79,0.19,0.01,0.02,2.25,1.37,1.16,2.44,0.53,0.57
1975,0.52,0.82,1.56,0.94,0.2,0.03,2.27,0.7,1.59,0.2,0.99,0.8
1976,0.16,2.11,0.57,1.08,0.9,0.05,2.38,0.81,2.39,0.88,0.34,0.17
1977,1.48,0.21,0.48,0.42,0.47,0.35,1.88,2.1,1.42,1.32,0.37,0.87
1978,2.85,2.35,3.31,0.65,0.52,0.12,1.16,1.3,0.69,1.49,3.34,3.12
1979,3.25,0.82,2.15,0.2,1.13,0.36,0.99,1.94,0.18,0.53,0.5,0.69
1980,3.07,3.87,1.56,0.55,0.44,0.03,1.48,1.6,1,0.53,0.07,0.37
1981,0.69,0.79,2.15,0.56,0.62,0.41,2.3,1.76,1.28,1.2,1.25,0.05
1982,1.75,1.37,1.99,0.22,0.89,0.03,1.47,2.96,1.61,0.16,1.9,2.77
1983,1.39,1.53,3.13,0.66,0.17,0.08,1.99,3.04,3.11,2.14,1.23,1.5
1984,0.47,0.09,0.41,0.64,0.13,0.53,3.47,3.14,1.85,1.24,0.95,3.49
1985,1.56,1,1.23,1.11,0.16,0.17,2.05,1.01,2.03,1.57,2.22,0.6
1986,0.18,1.49,1.77,0.41,0.23,0.5,2.25,2.56,1.4,1.29,1.23,1.51
1987,1.13,1.73,0.78,0.4,0.69,0.34,1.34,2.26,0.77,1.46,1.83,1.54
1988,1.28,0.86,0.16,2.22,0.11,0.64,1.69,3.66,0.59,1,0.74,0.46
1989,1.51,0.41,0.9,0,0.25,0.02,1.64,1.68,0.27,1.02,0.05,0.39
1990,0.99,1.17,0.81,0.72,0.41,0.27,2.99,2.4,2.1,0.56,0.85,1.51
1991,1.11,0.66,3.54,0.01,0.03,0.37,1.04,1.7,1.22,0.69,1.26,2.17
1992,1.45,1.95,2.94,0.46,2.18,0.23,1.84,3.39,0.55,0.9,0.22,3.34
1993,5.56,3.21,1.32,0.05,0.42,0.12,0.38,3.14,0.41,1.35,1.58,0.34
1994,0.22,1.4,1.21,0.75,0.65,0.24,0.94,1.62,1.46,1.06,1.44,2.12
1995,2.56,1.49,1.71,0.7,0.48,0.15,0.6,2.03,1.3,0.06,0.53,0.35
1996,0.24,1.19,0.43,0.08,0.06,0.25,2,1.49,1.91,0.88,0.86,0.28
1997,2.17,0.78,0.31,0.88,0.38,0.27,0.82,2.22,2.42,0.74,0.61,1.92
1998,0.6,3.14,2.06,0.75,0.22,0.07,2.43,1.64,1.64,1.43,1.04,0.41
1999,0.16,0.37,0.21,1.5,0.2,0.38,3.52,2.44,1.85,0,0.01,0.04
2000,0.33,0.71,1.84,0.16,0.02,0.98,0.56,2.53,0.19,3.97,0.94,0.14
2001,1.74,0.99,1.15,1.08,0.38,0.26,1.59,2.1,0.41,0.44,0.33,0.87
2002,0.23,0.1,0.25,0.17,0,0,1.39,0.88,1.95,0.77,0.61,0.96
2003,0.31,2.55,1.19,0.31,0.1,0.04,1.17,1.93,1.09,0.43,1.14,0.63
2004,0.68,1.24,0.74,1.39,0,0.08,1.17,1.51,1.57,2.05,1.78,1.77
2005,3.04,3.41,0.99,0.79,0.22,0.2,1.08,2.62,0.47,0.98,0.08,0.05
2006,0.17,0.02,1.66,0.28,0.05,0.34,2.56,2.22,1.42,1.42,0.05,0.43
2007,0.73,0.66,0.8,0.3,0.28,0.11,2.29,1.94,1.02,0.16,0.17,2.81
2008,2.16,1.19,0.06,0.03,0.65,0.15,2.34,2.2,0.76,0.33,0.94,1.96
2009,0.53,1.03,0.14,0.36,0.74,0.34,1.14,0.69,0.78,0.18,0.17,1.35
2010,3.83,1.48,1.18,0.27,0.05,0.07,2.1,2.04,0.64,1.46,0.27,2.08
2011,0.02,1.12,0.34,0.48,0.29,0.01,1.82,1.31,1.42,0.76,0.97,1.66
2012,0.27,0.44,0.75,0.31,0.04,0.07,2.57,2.27,1.1,0.24,0.23,1.41
2013,1.41,0.51,0.58,0.22,0.07,0.02,2.66,2.2,2,0.25,1.86,0.53
2014,0.02,0.13,0.98,0.26,0.06,0.01,1.91,3.01,2.64,0.64,0.1,1.37
2015,1.83,0.67,1.22,0.4,1,0.9,1.98,2.06,1.31,2,0.83,0.64
2016,1.48,0.39,0.11,0.78,0.59,0.39,1.33,2.68,1.5,0.36,1,2.17
2017,0.63,1.01,0.45,0.04,0.13,0.37,2.38,1.94,0.76,3.05,0.2,0.55
2018,1.52,3.11,1.21,0.28,0.92,0.04,0.73,0.8,1.47,0.02,3.25,1.71
2019,1.52,3.11,1.21,0.28,0.96,0.05,0.77,0.85,1.51,0.02,3.04,1.7
2020,0.44,1.07,2.37,0.36,0.09,0.05,0.74,0.61,0.14,0.12,-9999,-9999
