Year,1/1/2016,2/1/2016,3/1/2016,4/1/2016,5/1/2016,6/1/2016,7/1/2016,8/1/2016,9/1/2016,10/1/2016,11/1/2016,12/1/2016
1895,2.76,1.57,1.13,1.22,2.65,2.31,3.5,1.78,0.72,0.87,2,1.62
1896,1.21,0.79,1.49,1.82,1.17,1.37,2.45,1.53,1.97,1.31,1.23,0.76
1897,1.29,2.31,2.49,1.54,2.28,1.8,1.99,2.62,1.57,2.16,0.78,1.15
1898,0.82,0.41,1.1,1.39,3.61,1.72,2.63,1.49,0.97,0.91,1.3,1.03
1899,0.9,1.73,1.42,0.87,1.08,1.18,3.04,1.42,0.87,1.96,0.92,1.23
1900,0.39,1.01,0.58,6.17,1.34,1.33,1.31,0.86,1.43,0.75,0.99,0.3
1901,0.88,1.08,2,2.88,2.08,1.41,1.39,2.85,0.75,0.71,0.4,1.01
1902,0.58,0.78,1.49,0.99,2.54,1.14,1.51,1.99,2.13,0.91,1.03,1.43
1903,0.84,1.57,1.31,1.6,1.35,2.54,1.67,1.93,1.34,0.71,0.43,0.39
1904,0.58,0.97,1.46,1.4,2.96,2.41,2.16,2.37,2.42,1.18,0.02,0.85
1905,1.3,2.41,2.77,4.87,2.77,1.09,2.2,1.43,1.65,0.98,1.56,0.27
1906,1.56,0.62,3.63,3.49,2,1.05,2.52,1.77,2.7,1.81,1.49,1.35
1907,1.53,1.19,1.24,1.96,2.38,1.16,2.39,2.4,1.19,0.84,0.43,1.59
1908,0.94,1.14,0.59,1.11,2.77,1.14,2.55,2.59,0.77,2.48,1.24,1.9
1909,2.06,1.68,1.71,1.74,1.51,1.71,2.19,2.68,2.42,0.77,1.7,1.73
1910,0.87,0.84,0.54,1.24,1.85,0.85,1.97,2.06,1.32,1.34,0.74,0.84
1911,1.49,1.67,1.1,1.57,1.14,1.35,3.26,1.9,1.54,2.43,1.17,0.83
1912,0.63,1.19,2.64,1.71,1.65,2.44,2.97,2.24,1.43,1.64,0.52,0.64
1913,0.78,1.56,0.92,1.49,1.09,2.11,2.24,1.32,2.13,1.01,1.13,2.86
1914,2.05,0.92,0.87,2.6,2.81,1.88,3.38,2.04,0.74,2.58,0.04,0.82
1915,0.94,1.6,1.03,3.52,3.22,1.94,2.05,2.64,1.89,0.68,1.1,1.24
1916,2.79,1.07,1.37,1.88,1.46,0.66,2.33,3.1,0.91,2.78,0.64,1.52
1917,0.96,0.91,1.15,2.37,3.4,0.81,1.62,1.86,1.53,0.55,0.45,0.57
1918,1.91,1.52,2.08,1.81,1.17,1.54,2.83,1.64,2.34,1.56,1.15,1.43
