Year,1/1/2016,2/1/2016,3/1/2016,4/1/2016,5/1/2016,6/1/2016,7/1/2016,8/1/2016,9/1/2016,10/1/2016,11/1/2016,12/1/2016
1895,1.13,0.9,0.19,0.18,2.14,1.15,5,2.72,0.66,1.25,1.33,0.62
1896,0.42,0.35,0.32,0.51,0.13,0.96,2.88,1.79,2.21,3.67,0.29,0.81
1897,1.21,0.78,1.01,0.62,2.7,1.4,2.21,2.66,2.21,1.8,0.1,0.49
1898,0.91,0.29,0.52,1.05,0.87,2.11,4.18,2.41,0.86,0.34,0.65,1.15
1899,0.39,0.45,0.54,0.23,0.17,1.13,4.47,1,1.93,0.61,1.03,0.59
1900,0.41,0.5,0.64,2.13,1.47,1.18,1.95,1.44,3.34,1.33,0.58,0.22
1901,0.61,1.07,0.68,0.96,1.86,0.57,2.69,2.45,1.41,1.45,1.35,0.26
1902,0.57,0.3,0.69,0.11,1.59,0.48,1.79,2.62,1.14,0.55,1.01,1.08
1903,0.3,1.23,0.61,0.65,0.66,3.54,0.95,1.98,1.29,0.17,0.01,0.08
1904,0.17,0.26,0.33,0.28,1,1.63,2.05,2.61,4.37,1.71,0.16,0.77
1905,1.26,2.2,2.47,3.15,0.66,1.51,2.56,1.48,2.09,0.44,3.29,0.96
1906,0.49,0.75,0.97,1.72,0.57,0.41,3.63,2.28,1.88,1.17,1.45,1.71
1907,1.34,0.35,0.26,1.43,1.36,1.32,2.23,4.21,0.9,2,0.81,0.42
1908,0.57,1.11,0.34,1.49,0.8,0.4,3.07,3.41,0.69,0.51,0.88,0.55
1909,0.37,0.57,1.16,0.3,0.56,0.83,2.14,2.96,1.67,0.71,0.57,0.83
1910,0.47,0.32,0.26,0.66,0.32,0.89,1.52,2.88,0.68,0.72,0.61,0.27
1911,0.71,1.92,0.71,1.01,1.17,1.13,4.6,1.79,1.92,2.11,0.43,0.77
1912,0.06,0.82,1.24,0.8,0.77,1.99,2.21,2.79,1.19,0.92,0.17,0.58
1913,0.55,1.12,0.57,1.16,0.26,2.79,1.24,1.54,2.12,0.68,1.46,1.54
1914,0.31,0.34,0.38,1.2,2.28,1.86,4.58,2.39,0.73,2.42,0.31,1.93
1915,0.97,1.15,1.29,3.48,0.91,0.53,3.8,2,2.4,0.3,0.26,0.93
1916,2.06,0.2,1.01,1.5,0.42,0.27,2.42,3.65,1.06,2.94,0.19,0.38
1917,0.84,0.44,0.18,0.4,1.21,0.2,1.43,2.31,1.53,0.07,0.18,0
1918,1.07,0.59,0.73,0.36,0.44,1.08,2.3,2.13,0.84,1.94,1.22,1.62
1919,0.14,0.64,2.53,2.1,1.63,1.52,3.24,1.9,3.51,1.44,1.09,0.54
1920,0.98,0.9,0.58,0.57,1.45,2.02,1.57,2.71,1.16,1.77,0.25,0.29
1921,0.62,0.47,0.61,0.24,1.7,3.26,4.26,2.83,0.81,0.35,0.12,0.51
1922,0.52,0.44,0.67,1.24,0.9,1.27,1.32,1.39,0.78,0.3,1.13,0.24
1923,0.34,1.2,0.87,1.18,0.43,1.13,1.89,3.64,2.01,2.67,1.55,1.88
1924,0.17,0.39,1.22,0.79,0.59,0.38,2.76,1.51,0.58,0.47,0.23,0.96
1925,0.26,0.2,0.4,0.19,1.09,0.96,3.4,2.97,2,1.52,0.29,0.49
1926,0.66,0.15,2.16,1.74,2.43,0.97,2.42,1.53,2.39,1.42,0.19,1.6
1927,0.12,0.96,0.69,0.35,0.08,2.21,2.68,2.86,2.75,0.22,0.12,0.74
1928,0.02,1.18,0.36,0.75,2.63,0.43,2.06,3.35,0.55,2.25,1.05,0.44
1929,0.27,0.76,0.91,0.22,2.52,0.36,3.41,3.47,2.31,1.19,0.72,0.11
1930,0.73,0.27,0.85,0.61,0.96,0.97,3.42,2.18,0.89,1.73,0.97,0.36
1931,0.5,1.61,1.02,2.43,0.95,0.72,2.46,3.05,2.28,1.06,1.5,1.03
