Year,1/1/2016,2/1/2016,3/1/2016,4/1/2016,5/1/2016,6/1/2016,7/1/2016,8/1/2016,9/1/2016,10/1/2016,11/1/2016,12/1/2016
1895,2.41,1.5,1.48,0.61,1.24,0.42,0.91,0.83,0.63,0.72,1.29,1.06
1896,1.37,0.56,1.31,1.27,1.59,0.24,1.76,1.04,1.03,0.7,1.34,0.51
1897,1.5,2.65,2.14,0.85,0.68,0.33,0.68,0.61,1.7,2.36,0.88,1.39
1898,1.12,0.5,1.73,0.9,2.74,0.66,0.72,0.85,0.2,0.66,1.08,0.71
1899,1.2,1.54,2.14,0.6,0.76,0.7,0.96,0.99,0.26,1.85,0.75,1.14
1900,0.47,0.73,0.24,2.83,0.48,0.23,0.22,0.45,1.3,1.02,1.65,0.17
1901,1.02,2.2,1.25,0.93,1.36,0.31,0.52,1.9,0.29,1.06,0.46,1.17
1902,0.76,1.14,1.52,1.21,0.66,0.2,0.46,0.66,0.63,0.34,1.82,1.17
1903,1.94,1,1.6,1.42,1.53,0.62,0.61,0.54,1.06,0.98,0.96,0.49
1904,1.17,2.04,3,0.87,1.74,0.44,0.79,1.44,0.46,0.94,0,0.89
1905,1.04,1.8,2.23,1.59,1.75,0.27,0.58,0.78,2.09,0.38,1.6,0.68
1906,1.68,1.09,3.47,2.27,2.14,0.59,0.96,2.14,1.43,0.37,1.83,1.76
1907,2.74,2.27,2.21,1.23,1.99,1.31,0.66,1.82,0.49,1.59,0.43,1.91
1908,0.98,1.33,1.2,0.58,2.26,1.11,1.08,1.5,1.91,2.49,0.69,1.03
1909,3.38,2.37,1.58,1.28,0.9,0.18,1.39,2.75,1.82,0.45,2.5,2.12
1910,1.48,1.16,0.84,0.52,0.4,0.31,0.96,0.99,1.24,1.6,0.88,1.28
1911,3.37,1.46,1.68,1.02,0.6,1.07,1.35,0.48,1.95,1.36,0.91,0.82
1912,0.81,0.8,2.88,1.62,0.92,0.64,1.5,1.13,0.66,3.29,0.88,0.56
1913,0.83,1.54,1.18,0.92,0.6,1.65,1.41,1.05,1.34,0.99,1.92,1.34
1914,3.19,1.11,0.69,2.11,0.91,1.88,2.33,0.78,0.65,1.86,0.12,0.72
1915,1.25,2.46,0.74,1.98,2.01,0.66,0.65,0.36,1.77,0.1,1.19,1.22
1916,3.46,1.34,2.11,0.63,0.51,0.15,1.62,1.4,0.59,3.12,0.42,1.84
1917,1.06,1.31,0.91,1.95,2.49,0.13,1.26,0.69,1.1,0.1,0.78,0.33
1918,2.21,1.17,1.96,0.73,0.81,0.92,1.65,0.64,1.55,1.5,1.17,0.99
1919,0.12,1.88,1.15,0.92,0.85,0.02,0.98,1,1.87,1.61,1.47,1.05
1920,0.8,1.55,2.69,2.14,1.3,0.58,0.6,1.78,0.89,2.84,1,1.19
1921,1.68,0.98,1.36,1.86,1.78,0.54,1.32,2.29,0.48,1.17,0.57,2.64
1922,1.41,1.86,1.58,1.76,1.12,0.44,0.92,2.3,0.27,0.73,1.63,2.07
1923,1.48,0.79,1.35,2.19,1.2,0.58,1.56,1.55,1.24,1.48,0.7,1.04
1924,0.49,0.39,2.04,0.62,0.91,0.09,1.05,0.51,0.83,1.4,0.73,2.17
1925,0.61,1.13,1.3,1.26,0.74,1.89,1.43,1.93,1.6,1.65,1.01,0.74
1926,0.62,1.46,0.9,1.91,1.4,0.26,1.27,1.26,0.92,0.39,1.49,1.3
1927,1.12,2.41,1.8,1.2,0.73,1.29,1.11,1.55,2.44,1.5,1.6,1.16
1928,0.48,0.88,1.91,0.65,1.4,0.63,0.54,0.73,0.29,1.75,1.5,0.71
1929,1.39,1.37,1.55,1.81,0.59,0.61,1.37,1.89,2.24,0.59,0.15,0.35
