Year,1/1/2016,2/1/2016,3/1/2016,4/1/2016,5/1/2016,6/1/2016,7/1/2016,8/1/2016,9/1/2016,10/1/2016,11/1/2016,12/1/2016
1895,1.74,0.91,1.2,1.52,2.36,2.37,1.02,0.69,0.82,0.6,1.17,0.9
1896,1.45,0.56,1.46,1.6,2.44,1.36,1.57,0.92,1.72,0.6,1.84,0.45
1897,0.84,1.67,1.95,1.11,1.14,1.8,1.37,0.84,0.69,1.4,1.07,1.15
1898,0.93,0.49,1.2,1,4.06,1.95,1.18,0.57,0.67,0.86,1.04,0.6
1899,1.47,1.37,1.66,0.87,2.36,1.74,1.25,0.88,0.47,1.62,0.57,0.88
1900,0.33,0.91,0.49,4.1,1.01,0.48,0.82,0.57,1.27,0.79,1.11,0.42
1901,0.68,1.1,1.09,1.9,2.6,2.11,0.75,1.05,0.73,0.97,0.4,1.31
1902,0.41,0.83,1.21,1.39,1.87,1.55,0.99,0.46,1.16,0.47,0.92,1.39
1903,1.53,0.75,0.93,1.52,2.05,1.33,1.73,0.94,1.56,0.69,0.94,0.57
1904,0.79,1.87,2.15,1.12,2.53,1.7,1.07,0.98,0.56,0.87,0.08,0.78
1905,0.93,0.69,1.63,2.53,3.13,1.97,1.68,1.03,1.28,1.19,0.66,0.38
1906,1.11,0.75,2.21,1.88,3.47,1.53,0.97,2.28,1.43,1.14,1.01,1.25
1907,1.35,1.1,1.76,0.97,2.77,2.34,1.51,1.18,1.09,0.48,0.37,1.11
1908,0.73,0.61,0.99,1.01,5.16,2.66,1.12,1.64,1,2.1,0.59,1.11
1909,1.94,1.42,1.14,1.05,2.48,2.11,1.45,1.22,1.88,0.54,1.77,1.4
1910,1.14,0.93,0.63,0.97,2.02,0.79,1.07,0.44,1.44,1.3,0.97,0.79
1911,1.88,0.8,0.68,1.44,1.6,1.79,0.84,0.78,1.09,1.7,1.37,0.78
1912,1.01,1.02,1.72,1.96,2.05,1.41,2.46,2.07,2.18,1.91,0.56,0.74
1913,1.11,0.87,1.32,0.85,1.7,2.27,2.08,0.78,1.6,1.54,0.89,1.04
1914,1.28,0.93,0.72,2.5,1.72,1.89,1.22,0.63,0.94,1.55,0.14,0.41
1915,0.94,0.93,1.04,1.96,3.18,2.9,1.88,1.2,3.11,0.65,1.11,1.13
1916,1.52,1.18,1.4,1.01,1.95,1.29,1.16,1.23,0.45,1.87,0.74,1.42
1917,0.96,1.28,1.34,2.15,3.51,0.92,0.61,0.67,1.09,0.58,0.53,1.09
1918,1.7,1.13,1.2,2.09,2.03,1.52,2.09,0.98,2.18,1.25,0.68,0.65
1919,0.27,1.23,0.86,1.45,0.87,0.47,0.99,0.46,1.6,2.31,1.3,0.8
1920,0.64,0.82,1.45,3.06,2.48,1.4,0.86,1.36,1,1.49,0.78,1.08
1921,1.19,0.65,0.87,1.42,2.32,2.32,1.14,1.01,0.67,0.51,1.02,1.77
1922,1.12,1.44,0.65,2.31,2.32,1.46,1.97,1.48,0.36,0.73,1.56,1.29
1923,1.16,0.69,1.36,1.92,2.28,2.39,2.37,1.83,3.27,2.21,0.52,0.96
1924,0.61,0.82,1.54,1.02,1.41,0.8,1.08,0.38,1.27,2.3,0.93,1.38
1925,1.07,1.01,1,1.95,1.89,2.54,1.56,1.3,1.51,1.93,0.86,1.02
1926,0.93,0.92,0.62,1.22,2.3,1.73,1.92,1.7,1.41,0.85,1.69,0.87
1927,0.88,1.29,1.27,2.51,2.86,2.32,1.61,1.79,1.97,1.09,1.9,1.16
1928,0.83,0.59,1.22,0.85,1.84,2.7,2.04,0.69,0.48,1.51,1.17,0.55
1929,1.24,0.99,1.95,2.11,1.97,1.35,1.08,0.94,2.27,1.19,0.84,0.57
1930,1.07,0.84,0.97,1.43,2.34,1.06,1.38,2.97,1.17,2.04,0.8,0.31
1931,0.36,0.5,1.24,1,1.65,1.01,1.24,0.98,1.05,1.37,0.88,0.9
1932,1,0.91,1.76,2.13,1.85,2.15,1.04,1.08,0.38,1.3,0.64,0.89
1933,1.02,0.85,1.03,2.46,2.88,0.52,0.61,1.75,0.97,0.23,0.45,0.92
1934,0.68,0.91,1.06,1.16,0.56,1.78,1.07,0.67,1.17,0.87,0.96,1.11
1935,0.59,0.61,1.33,2.24,3.9,1.03,0.74,0.78,0.72,0.57,0.7,0.61
1936,1.6,1.98,1.22,1.31,0.56,1.82,1.38,1.34,0.8,1.08,0.54,0.93
1937,0.84,1.29,1.22,1.68,1.66,2.32,2.84,0.55,0.99,1.12,1.24,1.38
1938,0.97,0.73,2.04,1.78,3.11,1.66,1.75,1.03,1.49,1.33,1.19,0.82
1939,0.95,1.19,0.84,1.12,1.65,1.94,0.68,0.8,1.1,1.03,0.01,0.54
1940,1.46,1.25,1.27,2.87,0.87,1.48,1.04,0.51,2.35,1.23,1.14,0.7
1941,0.65,0.68,0.98,3.29,1.79,2.68,1.62,2.27,1.93,1.61,0.92,1.4
1942,0.68,0.86,0.77,2.77,3.17,1.49,1.02,0.65,1.24,1.8,2.14,1.05
1943,1.57,0.79,1.41,1.67,2.3,2.27,0.77,1.07,0.46,1.4,0.58,0.59
1944,0.95,0.95,1.68,1.95,2.18,3.94,1.24,0.34,0.82,0.63,1.38,0.93
1945,0.73,1.29,1.52,1.82,2.2,3.74,1.05,1.99,1.91,0.67,1.16,1.3
1946,0.72,0.68,1.7,0.94,3.18,1.74,0.97,1.03,1.88,2.53,1.13,1.02
1947,0.81,0.82,1.19,1.71,2.32,4.01,0.86,1.25,1.3,1.26,1.71,0.68
1948,0.96,1.08,1.09,1.78,1.4,2.81,1.21,0.79,1.07,0.78,1.5,1.57
1949,1.56,1.04,1.19,1.11,2.84,2.2,0.95,0.58,1.06,2.2,0.61,1.04
1950,1.52,0.74,1.64,1.86,2.03,1.4,1.57,0.51,2.42,0.72,1.36,0.74
1951,1.27,0.9,1.12,1.34,1.84,2.02,1.82,1.58,1.24,1.78,0.69,1.65
1952,0.96,1.18,1.43,1.07,3.3,1.56,1.19,1.29,0.32,0.16,0.56,0.94
1953,1.6,1.35,0.94,1.73,2.16,1.7,0.85,1.36,0.42,0.67,1,0.87
1954,1.1,0.63,2.09,0.76,1.48,1.47,0.96,0.9,0.79,1.04,0.52,0.76
1955,0.92,1.38,1.34,1.54,2.24,2.31,0.96,1.08,1.14,0.82,1.57,2.16
1956,1.48,0.82,0.87,1.7,2.26,0.74,1.18,0.95,0.36,0.9,1.08,0.97
1957,0.99,0.87,1.37,2.88,4.17,2.75,1.18,1.33,1.03,1.43,1.14,1.01
1958,0.66,1.04,1.37,2.23,1.42,2.24,2.04,0.78,0.53,0.34,1.46,1.04
1959,0.93,1.28,1.28,1.18,2.53,1.88,0.63,0.78,1.93,1.13,0.6,0.36
1960,0.78,1.28,0.92,1.18,1.25,1.36,0.6,1.09,0.76,1.06,1.43,0.73
1961,0.14,1.07,1.35,1.14,2.14,0.96,1.19,1,2.94,1.76,0.97,1.07
1962,1.13,1.48,0.98,1.07,3.7,2.5,1.73,0.89,0.85,1.04,0.77,0.42
1963,1.05,1.23,0.93,3.12,1.62,3.13,0.87,1.07,2.01,0.66,0.96,0.71
1964,1.13,0.87,1.33,2.49,2.33,3.54,0.56,0.94,0.31,0.4,1.35,2.39
1965,1.68,0.69,0.68,1.62,3.14,2.8,1.5,1.21,2.27,0.31,1,0.77
1966,0.61,0.73,0.86,1.55,0.85,1.48,1,1.16,1.74,1.23,1.01,1.06
1967,1.48,1.01,1.25,1.87,2.62,4.57,1.22,0.6,1.5,1.45,0.99,1.5
1968,0.86,1.15,1.02,1.75,2.49,2.87,0.83,2.56,1.01,0.69,1.14,1.15
1969,1.82,0.91,0.54,1.72,0.91,3.73,1.15,0.47,0.57,1.65,0.72,0.95
