Year, Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec
1895,39.36,42.32,49.86,57.85,66.06,72.71,77.61,77.55,71.9,60.64,46.4,38.7
1896,43.98,44.58,50.9,54.52,64.64,77.39,77.99,77.13,70.84,59.3,48.34,43.84
1897,39.8,41.57,44.26,57.54,67.82,72.56,78.04,77.67,71.55,58.23,50.99,38.8
1898,34.72,47.12,46.62,60.77,62.98,74.48,79.86,79,71.19,58.75,46.97,36.21
1899,38.27,42.28,49.68,58.16,60.99,73.26,79.27,75.43,73.4,58.64,50.23,42.96
1900,45.64,45.63,54.08,52.62,65.95,75.64,80.67,75.16,67.77,60.73,51.34,43.14
1901,42.04,44.71,48.66,54.94,64.95,72.11,81.49,79.27,71.54,61.01,52.05,42.3
1902,41.88,45.13,45.72,58.4,63.66,75.35,76.61,77.27,70.46,60.97,46.86,40.66
1903,40.92,36.68,48.77,55.18,62.79,73.25,78.01,78.43,69.63,59.34,51.51,42.04
1904,37.6,48.56,53.07,57.29,66.1,74.41,78.6,77.19,70.48,59.41,49.28,42.06
1905,43.24,43.94,50.59,55.36,61.03,72.41,77.46,78.98,72.56,59.48,48.6,37.24
1906,39.19,47.17,50.17,56.12,63.55,72.34,79.39,75.39,69.42,59.59,47.98,44.15
1907,41.68,49.4,51.36,58.41,61.53,70.19,78.95,76.66,71.14,60.57,48.69,43.85
1908,42.84,43.81,51.9,57.15,60.76,71.24,79.12,76.92,70.47,56.58,49.21,41.76
1909,45.93,43.3,46.76,56.12,61.46,74.11,79.14,76.77,69.71,60.27,49.88,35.69
1910,40.22,42.93,55.16,58.94,67.03,74.98,79.44,78.7,73.68,60.71,51.19,44.57
1911,44.77,42.46,53.38,56.02,63.35,72.81,76.66,77.33,72.38,59.09,46.83,35.12
1912,41.15,44.33,47.45,51.89,62.94,73.98,75.6,75.67,66.93,57.13,48.71,37.12
1913,35.73,41.12,46.01,55.78,63.7,71.3,77.24,77.29,69.92,58.71,51.06,39.05
1914,43.4,44.05,52.25,58.25,65.75,74.12,77.19,77.85,72.24,60,52.53,38.33
1915,37.99,42.65,48,56.29,60.37,72.71,77.44,77.96,69.68,61.91,49.14,41.45
1916,39.84,48.01,53.89,57.85,63.23,73.63,78.18,75.25,70.4,57.85,47.1,37.8
1917,36.78,42.12,45.11,53.48,58.85,74.44,80.52,77.05,71.95,62.11,51.65,46.42
1918,38.57,44.78,51.6,55.82,61.1,78.47,78.01,75.46,72.32,62.01,46.3,38.41
