Year, Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec
1895,21.87,20.71,32.48,45.28,51.9,57.98,62.8,64.77,59.27,45.09,30.73,22.8
1896,29.07,28.27,32.09,43.66,53.32,63.92,67.06,66.2,56.68,45.04,29.97,29.78
1897,22.78,25.22,30.95,42.22,55.19,60.88,65.28,64.54,60.69,46.4,35.47,22.49
1898,20.75,29.71,30.81,44.61,49.06,61.22,66.75,66.19,55.63,43.42,30.17,19.94
1899,21.9,16.98,31.79,43.67,51.08,60.94,65.94,65.05,58.9,45.43,38.1,24.68
1900,29.38,25.86,37.47,41.54,53.54,63.52,66.41,64.98,56.25,47.98,36.03,28.53
1901,26.29,25.72,32.84,41.55,53.11,60.47,70.14,66.48,57.07,48.54,38.37,26.98
1902,25.56,30.13,32.1,44.45,53.83,62.21,64.19,65.91,55.9,47.28,34.9,24.55
1903,25.53,16.44,32.16,42.48,49.36,57.09,65.77,64.96,55.17,46.98,35.88,27.7
1904,22.8,32.37,37.14,43.64,51.32,57.9,64.17,63.94,57.98,46.38,36.89,27.09
1905,23.87,22.19,38.15,41.16,49.08,61.96,63.86,65.82,58.79,43.23,36.54,23.17
1906,27.11,30.31,29.33,44.01,51.76,59.22,62.77,63.91,56.68,44.45,33.55,32.53
1907,27.8,35.44,40.72,42.46,46.36,57.48,66.07,64.44,57.25,48.7,33.5,26.86
1908,26.11,28.14,37.48,44.33,48.41,58.75,65.05,63.62,58.03,43.44,32.59,23.78
1909,28.14,26.35,32.16,39.4,48.29,60.6,67.27,66.65,56.38,47.37,36.74,16.3
1910,24.12,24.66,42.89,45.58,50.76,62.16,67.75,64.66,59.71,47.93,38.73,28.81
1911,30.54,26.47,38.23,43.42,52.85,62.74,64.51,63.98,59.91,43.49,30.45,20.03
1912,21.77,25.77,27.96,39.95,50.62,57.75,64.36,63.49,51.13,44.92,35.21,22.43
1913,20.69,21.2,30.51,43.31,53.56,60.08,65.81,66.99,54.24,42.81,38.18,19.82
1914,27.02,24.59,34.34,43.06,52.23,61.55,65.49,64.5,58.96,47.17,38.42,19.87
1915,21.32,28.43,29.4,46.09,47.84,57.14,63.56,61.69,56.41,47.83,35.82,26.87
1916,21.57,29.65,38.68,42.19,50.08,59.69,67.56,63.54,55.79,44.75,31.62,20.95
1917,20.6,26.87,27.88,38.89,44.87,58.72,67.59,62.59,57.93,44.57,39.19,30.14
1918,19.71,29.2,38.97,38.74,51.75,65.26,65.49,65.12,55.24,48.72,31.25,24.03
1919,22.17,23,33.14,43.39,52.79,60.89,68.24,66.48,60.09,42.47,31.67,24.77
1920,28.18,29.12,32.08,35.24,51.45,59.65,65.62,61.81,56,45.79,32.16,24.66
1921,27.52,29.63,38.52,39.8,51.77,60.85,66.38,64.46,58.78,50.37,37.5,30.48
1922,20.17,25.74,32.18,39.65,51.02,63.15,65.97,67.08,60.06,47.38,32.62,28.11
1923,29.53,23.91,28.56,41.26,50.86,59.45,66.84,62.96,55.08,41.44,35.04,25.18
1924,19.78,30.91,25.57,40.83,48.77,61.46,65.22,65.03,55.65,47.26,36.03,18.9
1925,19.25,31.11,37.44,46.11,54.26,61.37,67.25,63,57.77,42.45,33.18,26.76
1926,22.68,31.89,33.31,42.53,52.07,61.05,65.03,65.79,57.45,48.55,35.4,24.21
1927,28.15,30.29,32.05,43.24,53.65,59.74,65.26,61.42,56.6,48.18,38.68,20.78
1928,27.83,27.31,36.08,40.03,52.56,56.82,65.34,63.24,56.92,47.13,33.34,23.09
1929,21.49,18.67,33.17,40.81,50.11,60.45,67.19,65.58,54.87,46.34,27.34,28.63
1930,14.52,33.51,31.55,48.04,48.84,61.31,66.77,64.87,56.84,45.31,32.89,22.41
1931,24.88,31.23,30.68,42.65,49.39,63.78,68.49,64.99,60.87,48.75,31.54,24.01
1932,19.15,31.01,29.22,43.87,52.81,59.2,67.99,66.09,57.2,44.71,36.33,18.41
