Year, Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec
1895,33.35,31.54,44.83,54.08,61.15,68.21,70.97,70.65,66.4,52.57,40.26,32.34
1896,37.31,37.33,45.36,53.62,63.57,73.48,72.55,72.45,65.1,52.52,42.68,38.13
1897,30.44,36.98,42.3,52.14,61.93,68.96,71.72,70.35,65.34,53.59,44.58,33.15
1898,31.16,40.64,42.99,54.32,59.32,68.71,72.36,71.41,63.78,53.57,40.47,28.5
1899,31.58,33.06,44.87,53.21,59.54,69.49,72.45,72.29,66.28,53.8,44.45,36.07
1900,38.85,38.33,47.35,49.04,61.65,71,73.74,71.6,64.79,55.53,45.21,36.14
1901,36.6,38.23,43.24,50.75,61.41,69.47,74.41,73.11,65.42,55.96,46.11,36.8
1902,36.32,39.53,41.65,55.68,62.23,72.45,71.16,71.76,63.73,55.01,43.2,35.54
1903,35.37,30.89,42.96,52.39,58.46,65.08,73.53,72.17,63.75,53.19,45.31,35.11
1904,32.32,43.16,48.4,53.33,60.85,68,72.01,70.52,64.66,53.22,43.31,35.22
1905,34.67,34.43,46.59,49.69,59.56,69.77,70.47,71.88,65.34,53.06,43.93,30.03
1906,33.68,39.35,44.42,52,60.19,69.47,70.17,69.13,64.07,52.36,41.51,40.4
1907,39.29,44.08,49.94,52.47,55.73,65.82,72.48,70.87,64.78,54.45,40.89,37.05
1908,35.81,38.14,48.42,52.49,57.51,68.28,70.86,69.84,63.98,50.98,41.3,36.32
1909,40.8,38.31,41.67,51.15,57.44,70.1,74.4,71.53,63.54,54.63,45.84,28.33
1910,36.44,35.83,50.52,53.42,61.65,71.07,74.73,72.52,67.34,54.57,46.12,37.3
1911,40.77,37.1,48.24,52.73,61.1,69.66,70.42,71.71,67.72,52.67,39.56,28.41
1912,33.91,36.02,42.57,48.18,60.06,67.26,72.23,70.54,61.56,52.28,41.75,30.4
1913,30.42,34.56,40.98,51.18,61.88,66.94,72.73,71.56,60.89,52.56,46.29,30.33
1914,39.03,37.66,43.93,52.66,60.45,69.73,70.51,70.59,66.18,53.66,45.59,31.49
1915,30.86,37.25,39.31,52.02,57.28,68.48,71.73,68.87,63.82,54.75,43.88,36.28
1916,36.54,41.66,48.83,51.31,60.08,70.4,72.65,69.9,63.76,54.04,41.7,33.25
1917,33.22,37.52,40.93,50.24,54.26,68.9,74.48,70.82,65.05,54.69,46.08,40.05
1918,30.09,40.44,47.14,50.06,59.45,72.17,73.05,70.78,64.1,55.65,39.02,30.56
1919,28.56,34.13,41.95,52.52,60.37,66.54,71.48,71.94,65.14,52.93,42.22,37.56
1920,36.04,41.35,42.47,47.22,60.19,67.08,72.23,68.51,64.44,52.52,41.52,33.55
1921,37.36,38.91,47.64,49.23,59.9,67.1,70.79,70.29,67,56.98,45.49,40.4
1922,31.62,37.52,41.69,50.07,60.56,70.33,73.75,73.54,66.98,54.68,40.74,38.84
1923,39.23,36.38,40.49,51.42,60.95,69.09,73.39,69.86,62.83,50.83,41.76,33.04
1924,31.25,39.29,39.1,50.15,59.81,72.61,72.16,72.41,64.41,54.81,45.29,30.66
1925,30.08,41.18,47.54,55.26,62.81,70.14,73.61,68.88,64.32,53.1,41.27,33.1
1926,30.03,41.07,42.33,50.24,58.69,68.79,70.84,71.3,66.61,56.3,44.13,33.58
1927,39.01,42.31,43.82,53.3,63.35,68.05,73,70.08,64.2,54.84,48.2,31.79
1928,36.26,36.43,46.68,49.98,60.36,69.29,73.09,68.92,63.78,56.17,41.22,33.99
1929,33.62,32.12,43.04,52.03,59.2,69.85,72.34,70.33,64.39,53.9,36.81,36.79
1930,29.55,42.5,41.48,56.19,57.45,70.06,72.08,71.24,64.93,53.82,40.59,31.39
1931,32.87,39.2,41.43,51.19,58.75,70.4,73.21,69.77,67.79,56.5,41.4,32.19
1932,29.58,41.6,41.15,52.48,59.79,67.71,72.94,71.56,63.03,52.58,43.7,30.1
1933,32.74,31.92,45.87,48.21,57.84,69.69,73.9,71.02,68.32,57.17,45.31,40.85
1934,35.64,42.13,47.52,55.19,64.79,70.41,75.73,73.74,64.67,57.62,44.74,37.37
1935,38.48,38.52,45.98,52.76,56.01,69.25,73.44,71.61,63.08,55.26,42.34,34.85
1936,33.62,38.12,45.99,53.45,62.13,71.25,73.19,72.34,63.76,52.9,41.86,36.44
1937,27.79,36.96,41.06,52.22,62.06,68.73,73.41,73.77,66.44,55.92,43.76,36.45
1938,35.42,39.55,45.49,51.97,59.54,69.23,71.11,72.06,64.37,55.83,39.03,37.1
1939,33.79,30.13,44.97,53.23,61.7,70.52,72.95,70.68,66.72,53.48,42.22,39.06
1940,32.1,37.13,45.84,51.84,61.62,68.88,73.66,70.25,65.84,55.78,40.53,38.51
1941,35.1,40.35,41.84,48.11,60.32,65.33,70.45,70.03,63.66,53.77,43.91,36.96
1942,34.7,34.34,41,51.66,59.26,69.07,72.59,70.19,63.37,53.51,46.37,38.74
1943,36.28,41.34,44.18,56.44,60.99,69.52,72.79,74.12,64.97,53.54,42,32.57
1944,31.13,37.43,41.78,48.88,59.31,68.38,72.27,71.91,64.05,55.61,41.77,34.4
1945,34.65,40.48,43.33,49.04,61.32,66.82,72.58,72.71,65.57,54.89,43.98,33.18
