Year, Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec
1895,23.08,26.39,36.2,47.45,54.65,60.84,68.11,69.01,59.76,48.3,32.8,22.93
1896,30.47,31.77,37.55,43.19,51.51,67.53,71.04,68.88,59.61,49.01,32.75,32.24
1897,26.23,27.66,31.18,45.97,59.42,62.62,68.64,70.11,61.36,46.78,38.32,23.26
1898,17.98,30.99,32.95,49.27,51.99,64.27,72.19,71.76,60.43,44.68,33.62,21.64
1899,26.97,27.88,37.43,46.48,50.95,62.74,71.63,64.77,62.21,45.28,39.73,25.42
1900,31.8,32.1,42.58,44.5,56.88,68.11,71.7,66.95,56.5,48.24,39.22,30.68
1901,27.87,31.85,36.05,44.65,57.71,61.38,73.77,70.88,58.53,50.76,40.7,29.7
1902,27.37,33.89,33.39,46.95,54.73,65.58,67.21,67.84,59.36,49.41,35.25,26.62
1903,27.05,16.44,35.88,44.19,52,64.9,68.03,69.57,57.57,49.02,38.37,26.7
1904,22.64,33.99,38.59,46.41,54.49,61.77,68.6,68.11,60.1,47.34,37.73,27.67
1905,27.75,29.1,40.28,46.55,50.4,62.87,69.42,69.66,60.54,44.24,36.58,21.47
1906,24.92,32.34,35.87,45.5,53.2,59.98,69.55,67.38,58.66,47.81,34.5,32.24
1907,27.53,38.55,40.72,47.65,50.67,57.56,69.53,66.03,58.53,51.4,36.43,29.63
1908,26.89,29.41,37.92,47.4,48.91,58.45,70.43,66.57,58.63,43.18,34.48,24.79
1909,30.84,29.04,35.14,42.42,50.46,64.8,70.17,69.38,58.49,49.6,37.7,17.9
1910,24.09,26.56,44.81,49.85,56.31,66.05,71.91,68.8,62.33,49.23,41.26,30.37
1911,30.87,26.91,40.29,44.52,53.34,63.14,68.28,68.29,60.61,46.01,33.4,22.88
1912,27.29,31.76,35.69,41.67,52.07,63.13,67.37,66.57,53.39,44.83,36.83,23.66
1913,21.65,27.05,33.75,46.14,55.65,62.18,68.26,68.8,58.35,45.71,38.68,23.49
1914,28.61,28.43,39.66,47.33,56.48,61.6,68.17,68.85,60.13,49.57,38.32,22.16
1915,22.25,30.3,37.69,50,50.84,59.7,68.41,68.9,57.65,50.1,37.13,28.06
1916,23.17,31.04,40.19,47.5,50.82,61.64,69.31,65.92,58.97,45.32,32.44,23.2
1917,16.15,25.81,28.93,40.99,48.23,61.69,72.61,67.55,60.65,49.68,39.83,35.96
1918,26.72,28.93,40.39,43.11,52.4,69.58,69.35,67.18,60.99,50.78,33.28,25.36
1919,24.09,28.36,35.99,47.53,58,66.5,73.37,70.58,61.49,41.73,34.05,22.92
1920,26.82,32.16,34.36,39.92,54.5,62.79,71.29,67.68,58.95,45.51,35.52,26.15
1921,29.07,32.39,41.28,42.81,53.68,65.02,70.99,67.49,59.25,53.08,40.15,32.89
1922,19.15,26.33,32.78,39.87,53.44,66.83,70.95,69.96,63.6,49.99,34.26,30.35
1923,31.07,23.93,32.61,43.74,54.85,60.5,71.7,67.03,58.49,44.47,37.71,26.05
1924,20.63,35.34,31.88,44.81,56.66,65.67,70.83,68.61,59.3,46.91,35.96,20.73
1925,21.67,33.67,39.71,47.26,58.15,61.27,71.94,66.72,58.35,46.98,35.16,30.66
1926,25.21,34.04,39.57,49.24,55.91,66.83,70.11,69.28,58.71,50.21,39.94,25.7
1927,28.94,32.9,36.86,45.17,53.45,63.82,71.13,67.01,59.02,50.27,40.88,23.66
1928,27.99,31.07,40.65,43.97,57.49,61.73,70.75,68.07,61.58,49.68,36.52,23.85
1929,22.85,22.68,36.18,42.33,53.96,62.59,71.92,70.2,58.16,49.56,34.12,33.22
1930,19.13,34.55,37.79,51.23,50.85,64.15,71.45,68.51,59.41,46.18,31.54,20.61
1931,23.82,32.82,36.52,47.45,53.92,66.51,74.21,70.4,61.26,51.1,31.93,21.72
1932,18.32,28.98,35.7,45.8,54.44,62.46,70.48,68.89,61.19,47.35,38.96,19.37
1933,22.66,18.09,36.93,41.9,48.68,67.56,73.66,68.51,63.57,53.68,38.55,33.27
1934,30.78,38.41,45.66,51.55,61.27,62.57,73.47,71.6,59.83,51.62,39.26,29.04
1935,29.81,33.11,35.42,45.29,50.93,65.3,71.46,70.18,62.79,48.15,33.85,28.23
1936,27.08,30.58,37.79,48.69,57.91,67.01,71.98,69.71,59.11,48.8,35.7,28.45
1937,10.89,26.04,36.18,43.65,57.82,62.86,71.59,70.79,62.99,51.13,39.71,31.6
1938,29.68,31.53,36.39,46.83,52.44,64.91,69.11,69.72,63.18,50.04,29.77,29.91
1939,26.3,19.95,37.87,49.3,56.91,62.69,71.68,69.91,61.17,48.51,40.29,34.07
1940,27.46,32.35,40.81,47.45,59.22,68,72.75,71.41,61,50.73,33.53,29.24
1941,27.4,33.91,38.7,41.68,55.85,61.12,69.98,67.64,56.47,46.05,37.31,30.53
1942,24.41,24.36,33.14,46.88,51.47,62.55,72.61,69.65,60.63,50.19,37.97,31.94
1943,29.04,32.61,37.83,52.23,54.26,61.14,71.4,69.84,63.25,50.93,37.91,29.44
1944,21.65,27.19,33.42,42.35,54.84,59.61,70.2,69.31,62.05,52.41,35.59,29.09
1945,29.58,32.97,34.93,41.54,55.44,58.86,71.22,69.52,59.38,51.14,35.52,25.67
1946,24.36,29.74,39.43,50.86,53.25,65.36,72.25,70.27,60.88,44.5,34.23,33.18
1947,22.71,35.06,40.53,45.28,58.22,60.09,71.11,68.48,62.97,51.84,31.61,26.92
1948,27.32,28.03,30.64,46.17,55.65,63.13,70.67,68.99,63.3,49.89,32.51,25.3
1949,13.59,20.18,36.52,49.25,54.74,61.8,70.81,69.45,63.32,46.1,42.7,26.23
1950,22.93,31.18,37.12,46.86,51.4,62.33,69.41,68.06,60.23,54.61,40.03,33.83
1951,26.57,31.31,35.01,46.6,54.31,60.88,71.93,68.46,61.51,47.98,33.41,23.89
1952,22.94,26.23,29.89,46.28,56.07,63.38,70.12,70.57,63.23,54.09,32.29,27.17
1953,33.67,30.85,39.1,43.72,48.79,63.59,73.17,68.64,63.48,50.03,40.2,26.49
1954,29.55,35.96,35.55,49.96,57.84,62.42,73.12,68.2,62.06,50.73,40.84,26.19
1955,20.3,20.91,33.36,42.3,53.74,61.91,70.15,70.91,62.45,51.34,34.15,32.6
1956,33.55,24.87,38.12,46.05,56.51,66.69,70.86,67.4,63.69,50.11,32.42,27.1
1957,24.26,34.19,38.87,44.03,51.56,63.45,70.6,69.8,59.92,48.63,31.89,30.78
1958,27.18,36.49,33.7,42.74,58.92,65.83,69.95,72.26,61.82,51.63,36.57,34.46
1959,29.68,30.62,37.57,47.36,53.15,67.27,72.79,69.22,59.21,49.26,36.88,29.27
