Year, Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec
1895,16.5,16.35,26.64,43.38,47.82,54.04,62.04,63,53.44,42.63,27,19.91
1896,23.34,25.99,25.43,38.16,47.49,59.96,65.28,63.55,51.59,42.42,21.43,28.43
1897,18.22,20.13,23.11,39.08,54.17,57.44,63.24,63.99,58.57,43.55,30.83,19.13
1898,16.2,25.84,24.04,41.76,46.87,58.46,64.96,66.07,53.37,38.71,25.67,16.38
1899,20.36,9.66,22.91,38.95,46.13,56.19,64.83,61.52,55.38,40.09,35.25,20.42
1900,25.52,19.49,32.64,41.07,52.58,63.21,63.75,63.91,52.94,44.28,31.52,26.78
1901,23.13,18.91,28.92,39.16,53.62,54.89,69.12,65.31,51.47,45.72,35.06,22.49
1902,20.01,26.33,27.88,38.73,50.55,57.38,61.26,62.9,51.96,44.11,30.89,20.97
1903,22.7,11.8,27.44,38.28,45.9,56.68,62.77,63.07,49.8,44.17,30.57,23.99
1904,19.27,24.44,29.53,40.47,47.93,54.56,61.6,63.22,54.38,44.27,35.95,23.94
1905,20.43,16.26,34.79,38.44,44.81,55.97,62.34,64.27,55.54,37.85,32.39,19.72
1906,21.95,24.5,21.7,40.95,48.12,54.67,62.88,62.34,54.73,42.51,29.24,27.74
1907,17.1,28.22,34.46,37.09,43.71,53.71,62.88,61.17,52.59,45.82,31.3,23.37
1908,21.69,23.29,30.04,42.66,46.1,53.59,64.02,60.44,55.14,40.08,29.92,21.24
1909,21.42,21.83,28.31,33.88,45.01,58.02,65,65.96,54.38,43.77,33.59,11.86
1910,18.06,17.58,40.71,45.47,48.28,60.11,66.47,61.52,55.02,45.43,33.71,24.66
1911,23.33,19.37,34.05,38.06,48.86,60.74,62.29,60.83,54.67,39.13,24.96,17.38
1912,18.83,21.62,20.8,37.58,46.3,56.58,62.2,60.62,46.08,40.13,33.08,20.95
1913,17.53,14.1,25.16,41.35,49.14,58.58,62.52,65.05,52.93,38.43,33.95,18.9
1914,24.56,19.9,30.31,40.07,49.9,57.45,65.96,62.96,54.57,44.72,35.38,14.79
1915,18.26,26.04,27.31,46.12,45.33,52.05,60.13,61.68,51.22,45.31,31.46,23.33
1916,10.43,23.68,34.14,39.71,44.26,54.84,66.44,62.03,52.68,39.33,26.09,13.97
1917,13.85,19.7,20.33,34.12,43.03,54.33,66.94,60.97,55.05,40.47,37.12,25.39
1918,16.02,21.05,35.44,34.13,46.88,62.49,63.59,61.73,52.62,45.86,27.55,22.68
